Datetime,Symbol_Pair,Low,High,Open,Close,Volume,Volume_USD
2022-07-16,USDT/USD,0.99949,1.0,0.99979,0.99982,25691639.81,25687015.3148342
2022-07-15,USDT/USD,0.99925,0.99995,0.99931,0.99979,35447933.69,35440489.6239251
2022-07-14,USDT/USD,0.99875,0.99965,0.99907,0.99932,31021518.05,31000423.417726
2022-07-13,USDT/USD,0.9987,0.99965,0.99889,0.99908,35146091.01,35113756.6062708
2022-07-12,USDT/USD,0.9987,0.9992,0.99902,0.99889,31974526.17,31939034.4459513
2022-07-11,USDT/USD,0.99871,0.99965,0.99939,0.99902,27041327.89,27014827.3886678
2022-07-10,USDT/USD,0.999,0.99965,0.99951,0.99938,18490987.32,18479522.9078616
2022-07-09,USDT/USD,0.9993,0.99965,0.99944,0.99952,16201718.86,16193942.0349472
2022-07-08,USDT/USD,0.99871,0.99965,0.9996,0.99944,35657636.79,35637668.5133976
2022-07-07,USDT/USD,0.9989,0.99965,0.999,0.99959,32849141.31,32835673.1620629
2022-07-06,USDT/USD,0.99871,0.9992,0.99899,0.99903,34655398.55,34621782.8134065
2022-07-05,USDT/USD,0.9987,0.99912,0.99892,0.99899,35334115.12,35298427.6637288
2022-07-04,USDT/USD,0.9987,0.99924,0.99874,0.99893,23825969.62,23800475.8325066
2022-07-03,USDT/USD,0.99859,0.9992,0.99871,0.99874,17552482.37,17530366.2422138
2022-07-02,USDT/USD,0.99859,0.999,0.99875,0.99871,21717935.47,21689919.333243694
2022-07-01,USDT/USD,0.99801,0.9999,0.99892,0.99876,40285347.57,40235393.7390132
2022-06-30,USDT/USD,0.9986,0.9992,0.99878,0.99892,35853762.26,35815040.1967592
2022-06-29,USDT/USD,0.99842,0.99899,0.99876,0.99876,33898857.04,33856822.4572704
2022-06-28,USDT/USD,0.99875,1.00205,0.99906,0.99876,61243699.63,61167757.4424588
2022-06-27,USDT/USD,0.99902,0.99965,0.99938,0.99905,35076450.68,35043128.051854
