Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_DOGE,Volume_USD,Volume_in_ADA,Volume_in_XRP,Volume_in_BUSD,Volume_in_ETH,Volume,Volume_in_BTC,Volume_in_MATIC
2022-08-09,Coinbase,MATIC/USD,0.8694,0.9314,0.9222,0.8915,,24979609.53205,,,,,,,28019752.7
2022-08-08,Coinbase,MATIC/USD,0.9047,0.9519,0.9072,0.922,,23937071.044200003,,,,,,,25962116.1
2022-08-07,Coinbase,MATIC/USD,0.8926,0.9254,0.908,0.9072,,17656546.4712,,,,,,,19462683.5
2022-08-06,Coinbase,MATIC/USD,0.9028,0.9411,0.9276,0.9078,,27025518.373980004,,,,,,,29770344.1
2022-08-05,Coinbase,MATIC/USD,0.889,0.9382,0.8918,0.9276,,28333840.50168,,,,,,,30545321.8
2022-08-04,Coinbase,MATIC/USD,0.8755,0.9131,0.8886,0.8918,,22455735.08906,,,,,,,25180236.7
2022-08-03,Coinbase,MATIC/USD,0.8566,0.9263,0.8773,0.8886,,30588601.33926,,,,,,,34423364.1
2022-08-02,Coinbase,MATIC/USD,0.8488,0.907,0.8922,0.877,,37539421.4398,,,,,,,42804357.4
2022-08-01,Coinbase,MATIC/USD,0.878,0.9471,0.9286,0.8919,,57699715.32999,,,,,,,64693032.1
2022-07-31,Coinbase,MATIC/USD,0.9105,1.0166,0.9316,0.9288,,58123619.66016,,,,,,,62579263.2
2022-07-30,Coinbase,MATIC/USD,0.9142,0.984,0.9388,0.9312,,47754481.900800005,,,,,,,51282734.0
2022-07-29,Coinbase,MATIC/USD,0.905,0.9937,0.9345,0.939,,86910910.8834,,,,,,,92556880.6
2022-07-28,Coinbase,MATIC/USD,0.8467,0.9779,0.8969,0.934,,113901455.7912,,,,,,,121950166.8
2022-07-27,Coinbase,MATIC/USD,0.762,0.8992,0.784,0.8975,,84184546.04724999,,,,,,,93798937.1
2022-07-26,Coinbase,MATIC/USD,0.7222,0.7854,0.77,0.784,,54277142.96480001,,,,,,,69231049.7
2022-07-25,Coinbase,MATIC/USD,0.7681,0.885,0.8794,0.7697,,54912248.3588,,,,,,,71342404.0
2022-07-24,Coinbase,MATIC/USD,0.8451,0.9092,0.8713,0.8794,,41232861.52008,,,,,,,46887493.2
2022-07-23,Coinbase,MATIC/USD,0.8137,0.8883,0.8511,0.8714,,43205984.4139,,,,,,,49582263.5
2022-07-22,Coinbase,MATIC/USD,0.8443,0.9348,0.9054,0.851,,57987017.2858,,,,,,,68139855.8
2022-07-21,Coinbase,MATIC/USD,0.7966,0.9291,0.8319,0.9057,,86143167.27039,,,,,,,95112252.7
2022-07-20,Coinbase,MATIC/USD,0.8113,0.9528,0.9254,0.832,,107747869.8816,,,,,,,129504651.3
2022-07-19,Coinbase,MATIC/USD,0.8833,0.9795,0.9582,0.9257,,112364128.96119,,,,,,,121382876.7
2022-07-18,Coinbase,MATIC/USD,0.7451,0.9846,0.7525,0.9584,,169819120.7448,,,,,,,177190234.5
2022-07-17,Coinbase,MATIC/USD,0.7184,0.7902,0.729,0.7528,,61396159.88704,,,,,,,81557066.8
2022-07-16,Coinbase,MATIC/USD,0.6821,0.744,0.703,0.7292,,37132904.3016,,,,,,,50922798.0
2022-07-15,Coinbase,MATIC/USD,0.6743,0.7353,0.7091,0.7034,,63699852.93316001,,,,,,,90559927.4
2022-07-14,Coinbase,MATIC/USD,0.613,0.7183,0.6385,0.709,,83440080.2349,,,,,,,117686996.1
2022-07-13,Coinbase,MATIC/USD,0.5193,0.6477,0.5358,0.6388,,61154938.544520006,,,,,,,95734092.9
2022-07-12,Coinbase,MATIC/USD,0.5337,0.5928,0.5624,0.5356,,30110926.50072,,,,,,,56219056.2
2022-07-11,Coinbase,MATIC/USD,0.5363,0.5978,0.5713,0.5628,,34075547.63172,,,,,,,60546459.9
2022-07-10,Coinbase,MATIC/USD,0.5521,0.5901,0.5898,0.5713,,16532345.89932,,,,,,,28938116.4
2022-07-09,Coinbase,MATIC/USD,0.582,0.6114,0.6056,0.5896,,13914529.046,,,,,,,23599947.5
2022-07-08,Coinbase,MATIC/USD,0.555,0.6196,0.563,0.6054,,44101945.939380005,,,,,,,72847614.7
2022-07-07,Coinbase,MATIC/USD,0.511,0.5741,0.5253,0.5626,,29861302.876220003,,,,,,,53077324.7
2022-07-06,Coinbase,MATIC/USD,0.4918,0.5303,0.5123,0.5253,,28733508.04044,,,,,,,54699234.8
2022-07-05,Coinbase,MATIC/USD,0.4854,0.5354,0.4913,0.5124,,39750748.6614,,,,,,,77577573.5
2022-07-04,Coinbase,MATIC/USD,0.4508,0.495,0.4616,0.4913,,15644422.1743,,,,,,,31842911.0
2022-07-03,Coinbase,MATIC/USD,0.4482,0.4942,0.4926,0.4616,,14628869.24048,,,,,,,31691657.8
2022-07-02,Coinbase,MATIC/USD,0.448,0.4955,0.4616,0.4922,,12320398.62466,,,,,,,25031285.3
2022-07-01,Coinbase,MATIC/USD,0.449,0.4976,0.4816,0.4611,,34091372.52246,,,,,,,73934878.6
2022-06-30,Coinbase,MATIC/USD,0.4173,0.4971,0.4969,0.4815,,46345189.84245,,,,,,,96251692.3
2022-06-29,Coinbase,MATIC/USD,0.4845,0.5457,0.5102,0.4968,,37262688.6816,,,,,,,75005412.0
2022-06-28,Coinbase,MATIC/USD,0.5033,0.5744,0.5318,0.5099,,33672398.21113,,,,,,,66037258.7
2022-06-27,Coinbase,MATIC/USD,0.5197,0.5966,0.5581,0.5321,,29327499.068170004,,,,,,,55116517.7
2022-06-26,Coinbase,MATIC/USD,0.556,0.6268,0.6009,0.5584,,21826557.38496,,,,,,,39087674.4
