Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_MATIC,Volume_USD
2022-12-08,Coinbase,MATIC/USD,0.8874,0.9301,0.8979,0.9278,29494131.3,27364655.02014
2022-12-07,Coinbase,MATIC/USD,0.8707,0.9198,0.9177,0.8978,37556021.2,33717795.83336
2022-12-06,Coinbase,MATIC/USD,0.8965,0.9214,0.9117,0.9176,25489220.1,23388908.36376
2022-12-05,Coinbase,MATIC/USD,0.8999,0.9452,0.9213,0.9115,39634758.5,36127082.37275
2022-12-04,Coinbase,MATIC/USD,0.9013,0.9237,0.9029,0.9214,18055276.5,16636131.7671
2022-12-03,Coinbase,MATIC/USD,0.8997,0.95,0.9489,0.9027,22897373.2,20669458.78764
2022-12-02,Coinbase,MATIC/USD,0.8984,0.9493,0.9087,0.9489,47404296.5,44981936.94885
2022-12-01,Coinbase,MATIC/USD,0.9057,0.9454,0.9331,0.9087,58028558.7,52730551.29069
2022-11-30,Coinbase,MATIC/USD,0.8369,0.9446,0.8383,0.933,69784755.8,65109177.1614
2022-11-29,Coinbase,MATIC/USD,0.8129,0.8497,0.8213,0.8382,22869382.6,19169116.49532
2022-11-28,Coinbase,MATIC/USD,0.8036,0.8486,0.8433,0.8209,37928981.3,31135900.74917
2022-11-27,Coinbase,MATIC/USD,0.8402,0.8655,0.846,0.8435,22478308.9,18960453.55715
2022-11-26,Coinbase,MATIC/USD,0.8382,0.8712,0.8439,0.8459,21987508.9,18599233.77851
2022-11-25,Coinbase,MATIC/USD,0.8188,0.8491,0.8483,0.8436,23960885.1,20213402.670360003
2022-11-24,Coinbase,MATIC/USD,0.8412,0.8905,0.8607,0.8482,36270103.7,30764301.95834
2022-11-23,Coinbase,MATIC/USD,0.8354,0.8721,0.8504,0.8607,46994493.9,40448160.89973
2022-11-22,Coinbase,MATIC/USD,0.7775,0.8659,0.7953,0.8502,66460644.7,56504840.12394
2022-11-21,Coinbase,MATIC/USD,0.7633,0.8204,0.8058,0.7953,53919069.8,42881836.21194
2022-11-20,Coinbase,MATIC/USD,0.7983,0.8806,0.8752,0.8058,41184594.7,33186546.40926
2022-11-19,Coinbase,MATIC/USD,0.8487,0.8826,0.8783,0.8753,24949704.5,21838476.34885
2022-11-18,Coinbase,MATIC/USD,0.8669,0.8993,0.873,0.8783,31240474.9,27438509.10467
2022-11-17,Coinbase,MATIC/USD,0.861,0.9115,0.8974,0.8732,46018567.6,40183413.22832
2022-11-16,Coinbase,MATIC/USD,0.878,0.9551,0.9409,0.897,48368306.9,43386371.2893
2022-11-15,Coinbase,MATIC/USD,0.9058,0.9726,0.917,0.9409,58748589.9,55276548.23690999
2022-11-14,Coinbase,MATIC/USD,0.8308,0.9641,0.8886,0.9164,77098800.7,70653340.96148
2022-11-13,Coinbase,MATIC/USD,0.8641,0.9668,0.938,0.8883,60329732.0,53590900.9356
2022-11-12,Coinbase,MATIC/USD,0.924,1.0653,1.0626,0.9379,71584140.8,67138765.65631999
2022-11-11,Coinbase,MATIC/USD,0.9671,1.1565,1.1209,1.0624,104878297.1,111422702.83904
2022-11-10,Coinbase,MATIC/USD,0.8004,1.1574,0.8152,1.1213,154965739.5,173763083.70135
2022-11-09,Coinbase,MATIC/USD,0.761,1.0717,1.0442,0.8152,158005227.9,128805861.78408
2022-11-08,Coinbase,MATIC/USD,0.9,1.275,1.2573,1.0447,154787851.7,161706868.67099
2022-11-07,Coinbase,MATIC/USD,1.1288,1.2918,1.1345,1.2572,82450932.3,103657312.08756
2022-11-06,Coinbase,MATIC/USD,1.1311,1.2152,1.185,1.135,50837298.9,57700334.2515
2022-11-05,Coinbase,MATIC/USD,1.1526,1.3042,1.1694,1.1847,74108030.5,87795783.73335001
2022-11-04,Coinbase,MATIC/USD,0.9503,1.1984,0.9509,1.1692,115621165.7,135184266.93644
2022-11-03,Coinbase,MATIC/USD,0.8684,0.9912,0.8736,0.9511,77211789.1,73436132.61300999
2022-11-02,Coinbase,MATIC/USD,0.8364,0.897,0.874,0.8735,53435758.3,46676134.87505
2022-11-01,Coinbase,MATIC/USD,0.873,0.9096,0.9028,0.874,21563877.8,18846829.1972
2022-10-31,Coinbase,MATIC/USD,0.893,0.93,0.9087,0.9029,23696544.1,21395609.66789
2022-10-30,Coinbase,MATIC/USD,0.8989,0.95,0.934,0.9085,24654116.4,22398264.7494
2022-10-29,Coinbase,MATIC/USD,0.9263,0.9592,0.9444,0.934,26251269.7,24518685.8998
2022-10-28,Coinbase,MATIC/USD,0.8946,0.9475,0.9036,0.9445,27849732.9,26304072.72405
2022-10-27,Coinbase,MATIC/USD,0.8938,0.9477,0.9405,0.9037,30664542.2,27711546.78614
2022-10-26,Coinbase,MATIC/USD,0.9177,0.9678,0.9179,0.9384,34554391.3,32425840.79592
2022-10-25,Coinbase,MATIC/USD,0.8746,0.9485,0.8931,0.9176,43310484.7,39741700.76072
2022-10-24,Coinbase,MATIC/USD,0.872,0.9088,0.8985,0.8931,37760791.7,33724163.06727
2022-10-23,Coinbase,MATIC/USD,0.8206,0.9043,0.8319,0.8987,18777966.1,16875758.13407
2022-10-22,Coinbase,MATIC/USD,0.8131,0.84,0.8321,0.8319,10812020.2,8994519.604379999
2022-10-21,Coinbase,MATIC/USD,0.7751,0.8339,0.8086,0.832,30579920.2,25442493.6064
2022-10-20,Coinbase,MATIC/USD,0.8054,0.8483,0.8444,0.8087,32854447.0,26569391.2889
2022-10-19,Coinbase,MATIC/USD,0.8397,0.8815,0.864,0.8445,31370172.9,26492111.01405
2022-10-18,Coinbase,MATIC/USD,0.8355,0.88,0.8484,0.8642,38795563.2,33527125.71744
2022-10-17,Coinbase,MATIC/USD,0.796,0.8505,0.7985,0.8484,24238810.7,20564206.99788
2022-10-16,Coinbase,MATIC/USD,0.788,0.81,0.7893,0.7987,8238069.0,6579745.710299999
2022-10-15,Coinbase,MATIC/USD,0.7859,0.8101,0.7931,0.7894,10877346.0,8586576.9324
2022-10-14,Coinbase,MATIC/USD,0.7755,0.8225,0.7755,0.793,23615975.4,18727468.4922
