Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BTC,Volume_USD
2022-10-15,Coinbase,BTC/USD,18983.0,19229.12,19179.15,19070.24,9062.82835275,172830311.7657472
2022-10-14,Coinbase,BTC/USD,19076.83,19954.14,19375.55,19178.0,46208.33260444,886183402.6879504
2022-10-13,Coinbase,BTC/USD,18131.0,19509.23,19153.97,19378.65,49160.49651762,952664055.8411767
2022-10-12,Coinbase,BTC/USD,18971.51,19235.26,19058.42,19155.92,24862.65344825,476267000.44240105
2022-10-11,Coinbase,BTC/USD,18855.19,19265.69,19130.8,19058.11,36248.01909763,690818735.2447333
2022-10-10,Coinbase,BTC/USD,19028.08,19528.04,19442.7,19132.83,26596.56843638,508867622.4766244
2022-10-09,Coinbase,BTC/USD,19321.0,19563.28,19421.49,19443.47,12537.63788265,243775186.04216883
2022-10-08,Coinbase,BTC/USD,19250.0,19628.78,19531.68,19419.39,9745.2545363,189246898.4896789
2022-10-07,Coinbase,BTC/USD,19325.0,20065.26,19963.75,19533.05,34938.97272677,682464701.2206347
2022-10-06,Coinbase,BTC/USD,19855.19,20455.79,20162.15,19965.64,44044.43606305,879375354.4378736
2022-10-05,Coinbase,BTC/USD,19750.0,20371.15,20345.27,20161.62,33542.20736149,676265238.783564
2022-10-04,Coinbase,BTC/USD,19495.32,20479.43,19632.43,20345.19,32685.41637125,664991006.3021917
2022-10-03,Coinbase,BTC/USD,18958.29,19717.67,19059.1,19633.46,28571.64018677,560960154.7413414
2022-10-02,Coinbase,BTC/USD,18923.81,19398.94,19315.26,19059.17,12951.42404465,246843392.60907197
2022-10-01,Coinbase,BTC/USD,19160.0,19486.43,19423.57,19315.27,7337.45595566,141724942.89668092
2022-09-30,Coinbase,BTC/USD,19154.38,20182.72,19595.59,19426.11,34243.66392923,665221182.2922542
2022-09-29,Coinbase,BTC/USD,18845.3,19646.66,19412.37,19595.57,34783.53737085,681603241.398107
2022-09-28,Coinbase,BTC/USD,18487.0,19773.67,19077.56,19412.07,43710.30467197,848507494.0136087
2022-09-27,Coinbase,BTC/USD,18821.55,20383.15,19226.94,19077.57,51860.03004114,989363353.3119512
2022-09-26,Coinbase,BTC/USD,18681.02,19320.86,18806.3,19228.0,33108.05445715,636601671.1020802
2022-09-25,Coinbase,BTC/USD,18619.88,19184.3,18920.93,18808.61,14499.16320537,272709106.05615425
2022-09-24,Coinbase,BTC/USD,18808.13,19311.4,19286.03,18923.2,17644.76169841,333895354.5713521
2022-09-23,Coinbase,BTC/USD,18529.0,19500.0,19399.93,19286.01,30781.38249694,593650050.6498098
2022-09-22,Coinbase,BTC/USD,18358.63,19521.8,18462.66,19401.25,41006.95212665,795586129.9471684
2022-09-21,Coinbase,BTC/USD,18153.13,19949.97,18876.14,18462.64,44344.46282424,818715853.1173264
2022-09-20,Coinbase,BTC/USD,18722.0,19638.46,19538.31,18876.91,27437.23361358,517930189.5725244
2022-09-19,Coinbase,BTC/USD,18255.0,19689.62,19417.56,19540.38,30961.4463315,604998426.667116
2022-09-18,Coinbase,BTC/USD,19335.57,20119.08,20113.37,19417.64,16437.90668757,319185354.4128267
2022-09-17,Coinbase,BTC/USD,19748.89,20183.14,19800.26,20113.37,11557.14724341,232453178.65118536
2022-09-16,Coinbase,BTC/USD,19305.0,19890.95,19703.65,19801.04,24863.81492556,492329393.8936106
2022-09-15,Coinbase,BTC/USD,19500.0,20336.42,20227.7,19703.67,21124.30384367,416226311.9154053
2022-09-14,Coinbase,BTC/USD,19625.0,20545.0,20174.78,20227.77,25139.52734416,508516577.02637935
2022-09-13,Coinbase,BTC/USD,19855.0,22800.0,22402.58,20174.78,37351.56014939,753559508.6707104
2022-09-12,Coinbase,BTC/USD,21555.0,22490.05,21830.16,22402.71,28404.49469955,636337657.4505558
2022-09-11,Coinbase,BTC/USD,21356.37,21865.66,21656.03,21831.72,14386.63340528,314084952.2467195
2022-09-10,Coinbase,BTC/USD,21127.1,21815.15,21366.61,21651.52,17750.76003376,384330935.88615537
2022-09-09,Coinbase,BTC/USD,19294.49,21616.21,19322.56,21364.5,39579.81208118,845602895.2083702
2022-09-08,Coinbase,BTC/USD,19014.43,19460.7,19293.03,19321.87,20327.61614165,392767556.49886286
2022-09-07,Coinbase,BTC/USD,18527.0,19466.09,18790.77,19293.52,25583.39915964,493593823.3544976
2022-09-06,Coinbase,BTC/USD,18663.25,20179.86,19794.59,18790.91,34029.11126955,639437967.2460997
2022-09-05,Coinbase,BTC/USD,19633.11,20060.0,20003.85,19794.58,13935.11385555,275839726.02279294
2022-09-04,Coinbase,BTC/USD,19588.27,20026.2,19833.59,20004.73,10670.60766559,213462625.28605825
2022-09-03,Coinbase,BTC/USD,19655.0,20053.9,19953.4,19835.47,9538.49811675,189200593.23985112
2022-09-02,Coinbase,BTC/USD,19755.0,20444.0,20132.67,19953.74,19929.54590305,397668977.2675249
2022-09-01,Coinbase,BTC/USD,19561.01,20205.53,20048.27,20133.65,23858.64862602,480361680.9092676
2022-08-31,Coinbase,BTC/USD,19799.97,20489.0,19813.97,20048.26,36587.60323535,733517782.4391379
2022-08-30,Coinbase,BTC/USD,19540.14,20582.64,20286.95,19813.17,46462.27938622,920565040.0666724
2022-08-29,Coinbase,BTC/USD,19545.57,20427.19,19552.31,20286.97,33436.35652183,678322361.6676695
2022-08-28,Coinbase,BTC/USD,19513.74,20164.26,20035.3,19554.03,17117.31912737,334712571.7361668
2022-08-27,Coinbase,BTC/USD,19800.0,20389.14,20240.63,20036.69,22160.97938125,444032673.958498
2022-08-26,Coinbase,BTC/USD,20112.78,21878.05,21561.49,20240.72,37169.02639568,752327855.947568
2022-08-25,Coinbase,BTC/USD,21307.32,21818.32,21367.12,21561.86,17065.2835044,367959253.78218216
2022-08-24,Coinbase,BTC/USD,21147.41,21925.0,21526.74,21367.12,22538.91385671,481591677.0459854
2022-08-23,Coinbase,BTC/USD,20889.69,21679.52,21396.37,21528.34,22744.05096265,489641662.1012565
2022-08-22,Coinbase,BTC/USD,20889.69,21540.0,21514.45,21398.25,26215.93682469,560975170.1589228
2022-08-21,Coinbase,BTC/USD,21067.33,21795.08,21139.22,21518.62,16024.82128336,344832039.76453614
2022-08-20,Coinbase,BTC/USD,20760.93,21372.93,20834.94,21139.23,21809.4048831,461034025.986974
2022-08-19,Coinbase,BTC/USD,20782.39,23206.76,23188.94,20834.94,45962.7257428,957630633.0876936
2022-08-18,Coinbase,BTC/USD,23107.27,23600.0,23344.42,23189.46,13825.6308966,320608914.6514698
2022-08-17,Coinbase,BTC/USD,23180.14,24448.49,23857.89,23341.17,22747.43895287,530951839.6635606
2022-08-16,Coinbase,BTC/USD,23668.0,24253.98,24099.7,23857.93,19601.90580439,467660896.5477303
2022-08-15,Coinbase,BTC/USD,23777.0,25214.57,24316.58,24097.82,27821.25610894,670431621.8871365
2022-08-14,Coinbase,BTC/USD,24151.63,25054.1,24456.17,24316.71,23306.17100393,566729401.5129747
2022-08-13,Coinbase,BTC/USD,24302.36,24898.91,24415.08,24456.49,13678.30446343,334523316.3268312
2022-08-12,Coinbase,BTC/USD,23600.01,24463.01,23944.85,24415.18,17244.15100332,421019050.6932384
2022-08-11,Coinbase,BTC/USD,23862.66,24929.99,23959.3,23944.86,29681.35922757,710715991.3138717
2022-08-10,Coinbase,BTC/USD,22666.23,24224.67,23158.32,23962.18,25974.49772434,622405589.8802254
2022-08-09,Coinbase,BTC/USD,22871.66,23929.35,23815.68,23158.27,22349.07822206,517565987.7175855
2022-08-08,Coinbase,BTC/USD,23158.32,24251.08,23180.26,23815.65,24093.33217697,573798366.4604557
2022-08-07,Coinbase,BTC/USD,22852.13,23405.02,22960.86,23177.39,8297.19227173,192307261.18687215
2022-08-06,Coinbase,BTC/USD,22917.49,23357.19,23320.71,22960.93,9285.19244923,213196653.8632986
2022-08-05,Coinbase,BTC/USD,22589.83,23478.58,22624.44,23320.81,26745.91293062,623736353.7315322
2022-08-04,Coinbase,BTC/USD,22392.88,23234.29,22824.88,22623.94,21755.96366822,492205616.67198914
2022-08-03,Coinbase,BTC/USD,22694.56,23650.96,22994.78,22825.0,23966.78092491,547041774.6110708
2022-08-02,Coinbase,BTC/USD,22659.06,23464.97,23273.85,22989.4,15013.77828925,345157754.602884
2022-08-01,Coinbase,BTC/USD,22850.0,23518.89,23307.44,23273.86,12543.48560075,291935327.7838714
2022-07-31,Coinbase,BTC/USD,23240.01,24192.18,23648.15,23307.44,7969.64723008,185752074.63625577
2022-07-30,Coinbase,BTC/USD,23516.11,24666.0,23787.84,23650.13,13265.47821461,313730284.28769445
2022-07-29,Coinbase,BTC/USD,23429.71,24450.0,23851.66,23784.5,18431.00204878,438372168.2292079
2022-07-28,Coinbase,BTC/USD,22580.86,24206.11,22960.74,23851.7,25681.25351287,612541554.4129214
2022-07-27,Coinbase,BTC/USD,21045.73,23110.73,21260.22,22962.59,24206.7301153,555849218.8782866
2022-07-26,Coinbase,BTC/USD,20715.0,21344.43,21312.06,21261.57,19333.35688939,411057520.8387477
2022-07-25,Coinbase,BTC/USD,21254.97,22665.74,22583.37,21313.41,22277.31378773,474805522.4565424
2022-07-24,Coinbase,BTC/USD,22263.85,23036.46,22451.36,22583.43,9132.96152481,206253597.2882399
2022-07-23,Coinbase,BTC/USD,21941.01,23006.16,22688.85,22450.69,12592.30066753,282705838.67350906
2022-07-22,Coinbase,BTC/USD,22505.56,23763.55,23152.76,22687.68,20884.25890814,473815383.1450297
2022-07-21,Coinbase,BTC/USD,22340.07,23434.65,23225.24,23153.96,24113.43095206,558321415.7267592
2022-07-20,Coinbase,BTC/USD,22899.0,24287.13,23398.46,23226.99,34094.81155381,791919847.0122294
2022-07-19,Coinbase,BTC/USD,21578.57,23800.0,22434.97,23395.06,34808.90125305,814356333.3491799
2022-07-18,Coinbase,BTC/USD,20755.95,22777.0,20791.74,22427.56,31445.5132866,705246135.9660187
2022-07-17,Coinbase,BTC/USD,20750.1,21667.1,21189.23,20791.74,11450.67396279,238079435.8590994
2022-07-16,Coinbase,BTC/USD,20475.94,21582.71,20823.06,21189.68,12479.60342503,264438803.1032897
2022-07-15,Coinbase,BTC/USD,20368.67,21196.37,20574.96,20827.55,17731.34162095,369300404.1774172
2022-07-14,Coinbase,BTC/USD,19607.14,20893.73,20219.69,20577.02,24371.50910244,501493030.2310899
2022-07-13,Coinbase,BTC/USD,18892.0,20330.71,19304.71,20220.23,28211.91563971,570451422.9755334
2022-07-12,Coinbase,BTC/USD,19226.47,20037.46,19942.44,19303.65,21631.52226271,417567334.726562
2022-07-11,Coinbase,BTC/USD,19860.12,20854.32,20850.65,19942.43,16061.45339697,320304410.06733644
2022-07-10,Coinbase,BTC/USD,20636.53,21595.75,21582.23,20850.65,9610.90399408,200393595.3641641
2022-07-09,Coinbase,BTC/USD,21311.04,21959.3,21582.28,21583.99,9424.31410235,203414301.34198135
2022-07-08,Coinbase,BTC/USD,21172.0,22490.54,21618.04,21582.2,25311.00378887,546267145.9721501
2022-07-07,Coinbase,BTC/USD,20224.8,21855.72,20542.66,21614.6,25211.332802,544932873.9821092
2022-07-06,Coinbase,BTC/USD,19743.0,20650.0,20153.74,20542.67,18489.12900774,379816075.7934303
2022-07-05,Coinbase,BTC/USD,19274.95,20734.89,20212.42,20153.51,21938.40185419,442135801.1524367
2022-07-04,Coinbase,BTC/USD,19029.33,20331.76,19291.35,20211.35,14462.57230204,292308110.6968361
2022-07-03,Coinbase,BTC/USD,18755.75,19622.33,19225.54,19291.33,11826.36538269,228146317.29804912
2022-07-02,Coinbase,BTC/USD,18955.02,19422.02,19252.76,19224.03,10707.74160684,205845945.88214037
2022-07-01,Coinbase,BTC/USD,18938.33,20879.99,19985.62,19252.76,32977.00052272,634898276.5838027
2022-06-30,Coinbase,BTC/USD,18603.0,20143.53,20098.0,19985.62,28361.45876221,566821337.4671994
2022-06-29,Coinbase,BTC/USD,19823.43,20410.91,20253.5,20094.79,18278.45185883,367301651.6282985
2022-06-28,Coinbase,BTC/USD,20164.7,21189.99,20722.95,20252.89,17658.6604167,357638906.9667793
2022-06-27,Coinbase,BTC/USD,20500.0,21520.0,21024.85,20725.17,17440.94268269,361466502.05900633
2022-06-26,Coinbase,BTC/USD,20944.68,21866.0,21474.14,21027.92,11145.88852674,234374852.26920652
2022-06-25,Coinbase,BTC/USD,20900.0,21594.5,21221.13,21478.04,12877.9734191,276593628.2143666
2022-06-24,Coinbase,BTC/USD,20712.54,21537.46,21104.45,21223.72,21361.7652594,453376124.571233
2022-06-23,Coinbase,BTC/USD,19869.41,21211.97,19970.07,21104.45,21460.76883515,452917722.8429815
2022-06-22,Coinbase,BTC/USD,19751.51,20873.52,20699.63,19968.46,26569.63207564,530554635.3171343
