Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_ADA,Volume_USD
2022-09-01,Coinbase,ADA/USD,0.4408,0.4622,0.4458,0.4576,57455133.53,26291469.103328
2022-08-31,Coinbase,ADA/USD,0.4434,0.4634,0.4532,0.4458,65656577.94,29269702.445652
2022-08-30,Coinbase,ADA/USD,0.4384,0.4631,0.4505,0.453,78096905.66,35377898.26398
2022-08-29,Coinbase,ADA/USD,0.4239,0.453,0.4292,0.4505,73657498.99,33182703.294995
2022-08-28,Coinbase,ADA/USD,0.4273,0.4546,0.45,0.4291,68961241.84,29591268.873544
2022-08-27,Coinbase,ADA/USD,0.4261,0.4515,0.4316,0.45,96345689.11,43355560.0995
2022-08-26,Coinbase,ADA/USD,0.4256,0.4822,0.4642,0.4317,161110176.53,69551263.208001
2022-08-25,Coinbase,ADA/USD,0.4573,0.4741,0.4577,0.4642,70422554.02,32690149.576084
2022-08-24,Coinbase,ADA/USD,0.4535,0.469,0.466,0.4577,58114221.11,26598879.002047
2022-08-23,Coinbase,ADA/USD,0.4457,0.47,0.4615,0.466,56084502.08,26135377.96928
2022-08-22,Coinbase,ADA/USD,0.4373,0.463,0.4626,0.4615,103029275.56,47548010.67094
2022-08-21,Coinbase,ADA/USD,0.4467,0.4728,0.4513,0.4624,87318033.51,40375858.695024
2022-08-20,Coinbase,ADA/USD,0.435,0.4633,0.4499,0.4513,118571393.19,53511269.74664699
2022-08-19,Coinbase,ADA/USD,0.4462,0.5121,0.5121,0.4497,215890873.87,97086125.979339
2022-08-18,Coinbase,ADA/USD,0.5079,0.5442,0.5387,0.5121,64719988.13,33143105.921373
2022-08-17,Coinbase,ADA/USD,0.5282,0.5828,0.5568,0.5386,128953659.55,69454441.03363
2022-08-16,Coinbase,ADA/USD,0.5474,0.5701,0.5502,0.5571,65420007.01,36445485.905271
2022-08-15,Coinbase,ADA/USD,0.5429,0.582,0.5703,0.5501,87100106.32,47913768.486632
2022-08-14,Coinbase,ADA/USD,0.5571,0.595,0.5597,0.5701,109962781.82,62689781.915582
2022-08-13,Coinbase,ADA/USD,0.5381,0.5685,0.5407,0.5598,91736573.59,51354133.895682
2022-08-12,Coinbase,ADA/USD,0.5209,0.5425,0.5306,0.5407,43512763.42,23527351.181194
2022-08-11,Coinbase,ADA/USD,0.5287,0.5482,0.5377,0.5306,81051694.87,43006029.298022
2022-08-10,Coinbase,ADA/USD,0.5022,0.539,0.5131,0.5376,101760097.54,54706228.437504
2022-08-09,Coinbase,ADA/USD,0.5054,0.5376,0.5372,0.513,73624846.96,37769546.49048
2022-08-08,Coinbase,ADA/USD,0.5229,0.5497,0.5277,0.5372,82455329.69,44295003.109468
2022-08-07,Coinbase,ADA/USD,0.5057,0.538,0.5114,0.5277,55969954.44,29535344.957987998
2022-08-06,Coinbase,ADA/USD,0.5102,0.5235,0.5176,0.5114,43751112.44,22374318.901816
2022-08-05,Coinbase,ADA/USD,0.4992,0.5194,0.4998,0.5176,53475805.1,27679076.71976
2022-08-04,Coinbase,ADA/USD,0.4937,0.5112,0.501,0.4997,51376142.48,25672658.397256
2022-08-03,Coinbase,ADA/USD,0.4892,0.5172,0.4967,0.5009,56698603.49,28400330.488141
2022-08-02,Coinbase,ADA/USD,0.4889,0.5158,0.5128,0.4966,76455587.49,37967844.747534
2022-08-01,Coinbase,ADA/USD,0.5008,0.5268,0.5165,0.5128,73735836.23,37811736.818744
2022-07-31,Coinbase,ADA/USD,0.5133,0.5444,0.5267,0.5165,79424673.87,41022844.053855
2022-07-30,Coinbase,ADA/USD,0.5089,0.5558,0.5222,0.5267,127460070.7,67133219.23769
2022-07-29,Coinbase,ADA/USD,0.5065,0.5455,0.513,0.5222,163937273.1,85608044.01281999
2022-07-28,Coinbase,ADA/USD,0.4885,0.5242,0.5113,0.5129,128504449.17,65909931.979293
2022-07-27,Coinbase,ADA/USD,0.4588,0.5124,0.4681,0.5113,130137067.17,66539082.444021
2022-07-26,Coinbase,ADA/USD,0.4508,0.4775,0.475,0.4683,109611206.07,51330927.802581
2022-07-25,Coinbase,ADA/USD,0.474,0.5158,0.5119,0.4749,84346328.12,40056071.224188
2022-07-24,Coinbase,ADA/USD,0.5093,0.5366,0.5172,0.512,76162007.47,38994947.82464
2022-07-23,Coinbase,ADA/USD,0.4731,0.5189,0.4832,0.5171,91435845.89,47281475.909719
2022-07-22,Coinbase,ADA/USD,0.4775,0.5116,0.4996,0.483,77301017.74,37336391.56841999
2022-07-21,Coinbase,ADA/USD,0.4751,0.5027,0.4908,0.4996,125817723.06,62858534.440776
2022-07-20,Coinbase,ADA/USD,0.4866,0.5489,0.5152,0.4911,187221752.45,91944602.628195
2022-07-19,Coinbase,ADA/USD,0.4735,0.5268,0.4901,0.5151,180703250.91,93080244.543741
2022-07-18,Coinbase,ADA/USD,0.4456,0.4994,0.4477,0.49,220720171.95,108152884.2555
2022-07-17,Coinbase,ADA/USD,0.4417,0.4658,0.4578,0.4477,85576074.02,38312408.338754
2022-07-16,Coinbase,ADA/USD,0.4316,0.4591,0.4419,0.4579,74868017.59,34282065.254461
2022-07-15,Coinbase,ADA/USD,0.4326,0.454,0.4414,0.4419,119045708.9,52606298.76291
2022-07-14,Coinbase,ADA/USD,0.4166,0.446,0.4381,0.4414,123889639.08,54684886.689912
2022-07-13,Coinbase,ADA/USD,0.4019,0.44,0.4165,0.4382,165169356.83,72377212.162906
2022-07-12,Coinbase,ADA/USD,0.415,0.442,0.4342,0.4165,86680083.47,36102254.765255
2022-07-11,Coinbase,ADA/USD,0.4312,0.4626,0.4621,0.4344,85042716.07,36942555.860808
2022-07-10,Coinbase,ADA/USD,0.4549,0.4797,0.4777,0.4622,57622909.57,26633308.803254
2022-07-09,Coinbase,ADA/USD,0.4648,0.4847,0.4657,0.4777,61167151.56,29219548.300212003
2022-07-08,Coinbase,ADA/USD,0.46,0.4927,0.4775,0.4657,93840962.74,43701736.348018
2022-07-07,Coinbase,ADA/USD,0.4604,0.4824,0.4619,0.4774,83157690.75,39699481.56405
2022-07-06,Coinbase,ADA/USD,0.4465,0.4648,0.4567,0.4619,76756525.33,35453839.049927
