Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ADA
2022-09-07,ADA/USD,0.46241,0.4818,0.45332,0.47879,354758.3049956623,740947.60750154
2022-09-06,ADA/USD,0.49831,0.51198,0.46,0.46233,850046.792817693,1838614.82667725
2022-09-05,ADA/USD,0.50351,0.50713,0.48215,0.49837,372062.52744971745,746558.8367071
2022-09-04,ADA/USD,0.48025,0.50993,0.47583,0.50376,1212077.2785274421,2406060.97849659
2022-09-03,ADA/USD,0.45455,0.48616,0.4537,0.48018,825434.7975030476,1719011.19893175
2022-09-02,ADA/USD,0.4577,0.4666,0.44874,0.45456,349010.58426259377,767798.7158188
2022-09-01,ADA/USD,0.4461,0.46333,0.44115,0.45731,340001.66895357624,743481.81529723
2022-08-31,ADA/USD,0.45361,0.4633,0.44485,0.4461,225734.81268991885,506018.40997516
2022-08-30,ADA/USD,0.4505,0.46346,0.439,0.45289,577293.1293511309,1274687.29570344
2022-08-29,ADA/USD,0.4295,0.45315,0.42424,0.45053,408942.6990664506,907692.49343318
2022-08-28,ADA/USD,0.44993,0.45496,0.4277,0.42903,233135.05365439533,543400.35348203
2022-08-27,ADA/USD,0.43197,0.4519,0.42629,0.44984,497029.0142338241,1104901.77448387
2022-08-26,ADA/USD,0.46448,0.48199,0.4259,0.43137,1605795.6258812346,3722548.22050962
2022-08-25,ADA/USD,0.45773,0.47397,0.45731,0.4645,603936.6877032885,1300186.62584131
2022-08-24,ADA/USD,0.4653,0.4691,0.4535,0.45741,427954.09511952044,935602.84016423
2022-08-23,ADA/USD,0.46159,0.47,0.44556,0.46561,533513.7624502141,1145838.28193169
2022-08-22,ADA/USD,0.4627,0.46293,0.4372,0.46159,1111464.7253029568,2407904.68879949
2022-08-21,ADA/USD,0.4506,0.47276,0.44685,0.4627,850521.0721176678,1838169.59610475
2022-08-20,ADA/USD,0.44978,0.46295,0.4346,0.45079,529576.1067772631,1174773.41284692
2022-08-19,ADA/USD,0.51167,0.51194,0.44611,0.45003,1701361.029436212,3780550.25095263
2022-08-18,ADA/USD,0.53837,0.544,0.5066,0.51204,435566.4060643369,850649.17987723
2022-08-17,ADA/USD,0.55668,0.58181,0.5298,0.53822,611289.645422866,1135761.66887679
2022-08-16,ADA/USD,0.54974,0.57032,0.54761,0.5572,303184.75552295044,544121.95894284
2022-08-15,ADA/USD,0.5701,0.58197,0.54274,0.5496,847881.7934777191,1542725.24286339
2022-08-14,ADA/USD,0.55937,0.59452,0.55669,0.56948,1522337.564987399,2673206.37245803
2022-08-13,ADA/USD,0.54037,0.56729,0.53792,0.55923,1393815.556407929,2492383.37787302
2022-08-12,ADA/USD,0.53053,0.54208,0.52052,0.54031,328302.01823955594,607617.88277018
2022-08-11,ADA/USD,0.53757,0.54769,0.52895,0.53053,987687.1770985054,1861699.01249412
2022-08-10,ADA/USD,0.51263,0.5388,0.502,0.53761,792326.7953552454,1473794.74964239
2022-08-09,ADA/USD,0.53703,0.53703,0.5048,0.51277,347341.90835549176,677383.4435624
2022-08-08,ADA/USD,0.52754,0.54934,0.52284,0.53703,857970.3259055282,1597620.85154559
2022-08-07,ADA/USD,0.51092,0.5377,0.506,0.5274,557835.308687027,1057708.2075977
2022-08-06,ADA/USD,0.51754,0.52254,0.50969,0.51119,496658.64762838045,971573.48075741
2022-08-05,ADA/USD,0.49947,0.51934,0.49926,0.51765,451169.70578615053,871572.88860456
2022-08-04,ADA/USD,0.50032,0.5107,0.49336,0.49887,497125.7543866448,996503.60692494
2022-08-03,ADA/USD,0.49655,0.51677,0.48901,0.50057,568323.8585735653,1135353.41425488
2022-08-02,ADA/USD,0.5127,0.51515,0.48841,0.49605,731601.6059565113,1474854.56296041
2022-08-01,ADA/USD,0.51601,0.5262,0.50064,0.51249,419194.12972366303,817955.72542618
2022-07-31,ADA/USD,0.52619,0.54461,0.51272,0.51608,851073.7855409972,1649112.12513757
2022-07-30,ADA/USD,0.5222,0.55655,0.50875,0.5262,882583.969807952,1677278.54391477
2022-07-29,ADA/USD,0.51314,0.54542,0.5074,0.52129,1093760.3516064896,2098180.19069326
2022-07-28,ADA/USD,0.51127,0.52448,0.48913,0.51301,995411.6124523206,1940335.69024448
2022-07-27,ADA/USD,0.4678,0.51179,0.45916,0.51109,1015331.2451576053,1986599.70877459
2022-07-26,ADA/USD,0.47457,0.47738,0.45118,0.46815,1059114.5665043837,2262340.20400381
2022-07-25,ADA/USD,0.51181,0.51545,0.47401,0.47456,764112.2136523656,1610148.79815485
2022-07-24,ADA/USD,0.51718,0.53622,0.50969,0.5127,851962.5600990236,1661717.49580461
2022-07-23,ADA/USD,0.4827,0.51801,0.4732,0.51724,749890.0507874292,1449791.29763249
2022-07-22,ADA/USD,0.49945,0.51111,0.47727,0.48231,722938.7506004089,1498908.8980125
2022-07-21,ADA/USD,0.49055,0.502,0.47591,0.49918,863871.2031059813,1730580.55832762
2022-07-20,ADA/USD,0.51493,0.54822,0.48691,0.49085,1863267.4056747747,3796001.64138693
2022-07-19,ADA/USD,0.49064,0.5255,0.47344,0.51514,1730783.0664308823,3359830.46634096
2022-07-18,ADA/USD,0.44751,0.49961,0.44575,0.49122,2142960.414935273,4362526.8004871
2022-07-17,ADA/USD,0.45805,0.46619,0.44223,0.44735,573525.1398168474,1282050.16165608
2022-07-16,ADA/USD,0.44194,0.45899,0.43155,0.458,395952.54513527453,864525.20771894
2022-07-15,ADA/USD,0.44122,0.45313,0.43236,0.44167,343726.97107483225,778243.87229115
2022-07-14,ADA/USD,0.43804,0.44618,0.41687,0.44111,567842.4321213925,1287303.46653078
2022-07-13,ADA/USD,0.41669,0.44125,0.40258,0.43829,876951.5531269045,2000847.73352553
2022-07-12,ADA/USD,0.43444,0.44183,0.41425,0.41635,693611.1858428282,1665932.95506864
2022-07-11,ADA/USD,0.46237,0.46267,0.43146,0.43401,31403805.716168985,72357332.12637724
2022-07-10,ADA/USD,0.47789,0.47959,0.4552,0.4623,501529.86987709324,1084858.03564156
2022-07-09,ADA/USD,0.46551,0.4846,0.46501,0.47798,401795.12265151076,840610.74239824
2022-07-08,ADA/USD,0.47729,0.49264,0.45972,0.46623,702397.5836283028,1506547.37710637
2022-07-07,ADA/USD,0.4619,0.48202,0.4607,0.47672,467852.504244365,981398.94328823
2022-07-06,ADA/USD,0.45671,0.465,0.44641,0.4619,508053.2226408472,1099920.37809233
2022-07-05,ADA/USD,0.4694,0.4716,0.4442,0.45741,994175.3944536209,2173488.54299998
2022-07-04,ADA/USD,0.4558,0.47732,0.44336,0.46933,22175140.76471947,47248504.81477738
2022-07-03,ADA/USD,0.45531,0.4595,0.44317,0.45561,375291.8879253769,823713.01754873
2022-07-02,ADA/USD,0.449,0.46142,0.44078,0.45549,706298.7431690509,1550635.01540989
2022-07-01,ADA/USD,0.46012,0.4747,0.44207,0.44857,5860437.529012539,13064711.25802559
2022-06-30,ADA/USD,0.46561,0.46705,0.4351,0.45946,1516341.4385901713,3300268.66014489
2022-06-29,ADA/USD,0.46928,0.47697,0.45827,0.46561,7328857.628374687,15740335.53483535
2022-06-28,ADA/USD,0.48486,0.50212,0.4666,0.46928,13351311.701395161,28450630.11719051
2022-06-27,ADA/USD,0.49028,0.50868,0.4751,0.48466,3865850.088087164,7976416.63864805
2022-06-26,ADA/USD,0.4985,0.52544,0.48888,0.49016,1426651.4981287657,2910583.27511173
2022-06-25,ADA/USD,0.498,0.50765,0.4779,0.4986,672602.0668551329,1348981.2812979
2022-06-24,ADA/USD,0.47924,0.50954,0.476,0.49737,1250591.0522495934,2514407.89000059
2022-06-23,ADA/USD,0.45859,0.48218,0.45591,0.47942,710520.0092244612,1482040.81854003
2022-06-22,ADA/USD,0.48035,0.48035,0.45528,0.45797,1019541.6232592197,2226219.2354504
2022-06-21,ADA/USD,0.49098,0.5113,0.47382,0.48065,832624.6066419183,1732288.78943497
2022-06-20,ADA/USD,0.48411,0.50861,0.4612,0.49091,1081423.3049428775,2202895.245448
2022-06-19,ADA/USD,0.45499,0.48999,0.43546,0.48402,1236456.2696591092,2554556.15400006
2022-06-18,ADA/USD,0.48558,0.49401,0.4202,0.45481,1954709.5807635786,4297859.7233209
2022-06-17,ADA/USD,0.47628,0.50413,0.47188,0.48599,1970779.3961990562,4055185.07829185
2022-06-16,ADA/USD,0.53549,0.54691,0.46773,0.47567,1308065.8841781104,2749944.04561589
2022-06-15,ADA/USD,0.48275,0.5395,0.44846,0.53573,4045951.456357595,7552221.1867127
2022-06-14,ADA/USD,0.4641,0.51998,0.4372,0.4826,2723788.5811931323,5643987.94279555
2022-06-13,ADA/USD,0.49016,0.49839,0.43722,0.46466,3777948.596861697,8130565.5680749295
2022-06-12,ADA/USD,0.55455,0.56098,0.4886,0.49053,2700369.7387801195,5505004.25821075
2022-06-11,ADA/USD,0.57468,0.6177,0.54356,0.5537,2012331.284660413,3634334.99125955
2022-06-10,ADA/USD,0.63262,0.63681,0.57012,0.57354,1117807.2433503733,1948961.2639927
2022-06-09,ADA/USD,0.6409,0.65829,0.62641,0.63282,1437892.7236799276,2272198.60889341
2022-06-08,ADA/USD,0.61436,0.66985,0.60913,0.6409,4751136.331205951,7413225.66891239
2022-06-07,ADA/USD,0.60986,0.64502,0.57123,0.61368,3587685.96501951,5846183.62178906
2022-06-06,ADA/USD,0.5677,0.64635,0.56547,0.60963,2451308.422665941,4020977.35128839
2022-06-05,ADA/USD,0.56704,0.58132,0.55374,0.56804,475267.79157974606,836680.14854543
2022-06-04,ADA/USD,0.56016,0.57198,0.5452,0.56648,855584.6938489968,1510352.87009073
2022-06-03,ADA/USD,0.58798,0.60627,0.53914,0.56008,1200491.9746351587,2143429.4647821
2022-06-02,ADA/USD,0.5521,0.59818,0.54958,0.58776,3835336.8859047485,6525345.18494751
2022-06-01,ADA/USD,0.62654,0.63095,0.53693,0.5521,4651057.972737204,8424303.51881399
2022-05-31,ADA/USD,0.56926,0.68992,0.56789,0.62622,8078044.075108792,12899690.32466033
2022-05-30,ADA/USD,0.48203,0.57763,0.4772,0.56977,3927348.98334332,6892867.26809646
