Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH,Volume_in_BTC,Volume_in_XRP,Volume_in_ADA,Volume_in_DOGE,Volume_in_LTC,Volume_in_SOL
2022-12-11,Bitfinex,SOL/USD,13.562,13.81,13.391,13.428,298878.77981404547,,,,,,,22257.87755541
2022-12-10,Bitfinex,SOL/USD,13.576,13.737,13.547,13.575,82886.542275555,,,,,,,6105.8226354
2022-12-09,Bitfinex,SOL/USD,13.715,14.042,13.521,13.598,504261.367362998,,,,,,,37083.49517304
2022-12-08,Bitfinex,SOL/USD,13.488,13.784,13.273,13.694,871677.3519391103,,,,,,,63653.96173062
2022-12-07,Bitfinex,SOL/USD,14.326,14.345,13.43,13.5,477316.7326591649,,,,,,,35356.79501179
2022-12-06,Bitfinex,SOL/USD,13.837,14.377,13.833,14.299,886909.0322855607,,,,,,,62025.94812823
2022-12-05,Bitfinex,SOL/USD,13.701,14.172,13.606,13.824,1059896.9040746342,,,,,,,76670.78299151
2022-12-04,Bitfinex,SOL/USD,13.29,13.768,13.282,13.713,265585.96273297473,,,,,,,19367.45881521
2022-12-03,Bitfinex,SOL/USD,13.726,13.76,13.208,13.309,410343.612207572,,,,,,,30832.03938745
2022-12-02,Bitfinex,SOL/USD,13.484,13.817,13.311,13.709,684153.1178535149,,,,,,,49905.3992161
2022-12-01,Bitfinex,SOL/USD,14.177,14.205,13.398,13.504,893391.141109968,,,,,,,66157.51933575
2022-11-30,Bitfinex,SOL/USD,13.352,14.335,13.229,14.183,1560291.807790717,,,,,,,110011.40857299
2022-11-29,Bitfinex,SOL/USD,13.33,13.974,13.144,13.333,890010.7702222071,,,,,,,66752.47657858
2022-11-28,Bitfinex,SOL/USD,14.115,14.158,12.775,13.348,2751022.4698188,,,,,,,206099.97526362
2022-11-27,Bitfinex,SOL/USD,14.179,14.454,14.051,14.138,579457.1104512799,,,,,,,40985.79080855
2022-11-26,Bitfinex,SOL/USD,14.019,14.975,13.972,14.165,886970.294675126,,,,,,,62617.03456937
2022-11-25,Bitfinex,SOL/USD,14.61,14.613,13.898,14.019,707903.4179568297,,,,,,,50495.99956893
2022-11-24,Bitfinex,SOL/USD,14.367,14.949,13.842,14.607,2944052.432670168,,,,,,,201550.79295339
2022-11-23,Bitfinex,SOL/USD,12.462,14.66,12.403,14.358,8386109.813113235,,,,,,,584072.28117518
2022-11-22,Bitfinex,SOL/USD,11.833,12.52,10.942,12.439,3409373.7860240694,,,,,,,274087.44963615
2022-11-21,Bitfinex,SOL/USD,12.263,12.294,11.274,11.852,1588630.74835886,,,,,,,134039.04390473
2022-11-20,Bitfinex,SOL/USD,12.834,13.632,12.117,12.262,1870893.404294067,,,,,,,152576.52946453
