Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-09-01,XRP/USD,0.32769,0.33362,0.32161,0.33347,992155.8744116486,2975247.77164857
2022-08-31,XRP/USD,0.32689,0.33407,0.32313,0.32788,871641.6813041645,2658416.74180848
2022-08-30,XRP/USD,0.3339,0.33596,0.3201,0.32689,934703.7157186038,2859383.02095079
2022-08-29,XRP/USD,0.32267,0.33439,0.31879,0.33417,1423183.633050614,4258861.15764615
2022-08-28,XRP/USD,0.33501,0.33761,0.32132,0.32277,663019.9396657267,2054156.02337803
2022-08-27,XRP/USD,0.33937,0.3454,0.32812,0.33467,1097178.442297784,3278388.98705526
2022-08-26,XRP/USD,0.34907,0.37114,0.33256,0.33957,2813035.87327729,8284111.88643664
2022-08-25,XRP/USD,0.34582,0.3521,0.3437,0.3491,1048003.7821519044,3002015.9901229
2022-08-24,XRP/USD,0.34731,0.35262,0.33878,0.3455,1344196.3669689265,3890582.82769588
2022-08-23,XRP/USD,0.34406,0.34803,0.33257,0.34713,1120357.4709350776,3227486.73677031
2022-08-22,XRP/USD,0.34461,0.3452,0.3314,0.34411,1142461.5703579825,3320047.57303764
2022-08-21,XRP/USD,0.33677,0.3485,0.33551,0.34452,1226202.3479357276,3559161.58114399
2022-08-20,XRP/USD,0.33442,0.34287,0.33197,0.33678,1412803.769498549,4195034.65021245
2022-08-19,XRP/USD,0.37018,0.3704,0.32881,0.3345,3879245.092203514,11597145.26817194
2022-08-18,XRP/USD,0.37968,0.3815,0.3692,0.37033,901239.7631652515,2433612.62432223
2022-08-17,XRP/USD,0.37728,0.39265,0.36728,0.37956,2138781.427361727,5634896.79460883
2022-08-16,XRP/USD,0.3752,0.37848,0.3666,0.37683,1012036.7251708047,2685658.5865531
2022-08-15,XRP/USD,0.3755,0.385,0.3658,0.37508,1299715.2149643328,3465168.0040640202
2022-08-14,XRP/USD,0.37777,0.3921,0.3738,0.37511,1124857.5453848944,2998740.49048251
2022-08-13,XRP/USD,0.3798,0.38793,0.3762,0.37795,975302.0021132214,2580505.36344284
2022-08-12,XRP/USD,0.38009,0.3803,0.37,0.37959,801973.8475289572,2112737.02555114
2022-08-11,XRP/USD,0.38123,0.38592,0.377,0.38011,1046894.3975540248,2754187.99177613
2022-08-10,XRP/USD,0.36702,0.38155,0.3584,0.38149,2201046.1014378387,5769603.66310477
2022-08-09,XRP/USD,0.37884,0.37995,0.3602,0.36702,952367.2439562503,2594864.70480151
2022-08-08,XRP/USD,0.37228,0.38477,0.371,0.37861,1272366.0731623713,3360624.58245258
2022-08-07,XRP/USD,0.37113,0.37705,0.36784,0.37216,344960.74401784845,926915.1548201
2022-08-06,XRP/USD,0.37625,0.37813,0.37001,0.37109,573311.8068690887,1544940.06000994
2022-08-05,XRP/USD,0.37106,0.3785,0.36722,0.37631,1572392.4706498703,4178449.87018647
2022-08-04,XRP/USD,0.36939,0.37475,0.36404,0.37072,800645.3360302795,2159703.64703895
2022-08-03,XRP/USD,0.37152,0.37747,0.3631,0.36942,1001819.2911977011,2711870.74656949
2022-08-02,XRP/USD,0.37918,0.39427,0.36666,0.37143,1323116.0781698003,3562221.8942191
2022-08-01,XRP/USD,0.37899,0.38592,0.37085,0.37921,2130024.0485044513,5617003.89890681
2022-07-31,XRP/USD,0.38783,0.39905,0.37805,0.37904,2038923.2053980902,5379176.88211822
2022-07-30,XRP/USD,0.36795,0.41,0.36295,0.38796,7613383.504063665,19624145.5409415
2022-07-29,XRP/USD,0.37385,0.38016,0.35983,0.36794,2874531.8344715605,7812501.58849693
2022-07-28,XRP/USD,0.35929,0.37931,0.34902,0.37381,1963271.7553414286,5252057.87790971
2022-07-27,XRP/USD,0.33723,0.3597,0.33034,0.35929,1782917.306544289,4962334.9008998
2022-07-26,XRP/USD,0.33598,0.33872,0.32523,0.33726,1140822.4455545463,3382620.07221297
2022-07-25,XRP/USD,0.35849,0.36003,0.335,0.33567,3130865.1344649433,9327211.64973022
2022-07-24,XRP/USD,0.35905,0.3668,0.3558,0.3585,935505.1579241827,2609498.34846355
2022-07-23,XRP/USD,0.35806,0.36275,0.34952,0.3592,1487523.4178655297,4141212.18782163
2022-07-22,XRP/USD,0.36673,0.37163,0.35408,0.35772,1725793.1171869356,4824424.45819897
2022-07-21,XRP/USD,0.36311,0.36855,0.34872,0.36706,1348693.0479609342,3674312.23222616
2022-07-20,XRP/USD,0.37277,0.38163,0.3573,0.36291,1567041.247090853,4317988.61175182
2022-07-19,XRP/USD,0.36527,0.37675,0.35144,0.37278,1684506.9139823893,4518769.55304037
2022-07-18,XRP/USD,0.3432,0.37,0.34275,0.36531,2634717.5805757707,7212278.83325332
2022-07-17,XRP/USD,0.35071,0.36159,0.341,0.34323,1636853.6362805255,4768970.18407635
2022-07-16,XRP/USD,0.33443,0.35626,0.33125,0.35063,2104476.1074894993,6001985.30499244
2022-07-15,XRP/USD,0.33369,0.34892,0.32742,0.33411,1835398.4381526662,5493395.70247124
2022-07-14,XRP/USD,0.32344,0.33375,0.31241,0.33334,1212459.5369962093,3637305.86487133
2022-07-13,XRP/USD,0.31141,0.32595,0.30201,0.32354,3598242.6509893276,11121476.94563061
2022-07-12,XRP/USD,0.31472,0.31786,0.30739,0.31141,1548176.9782475072,4971506.94662184
2022-07-11,XRP/USD,0.3254,0.32933,0.31037,0.31526,2344033.8139555175,7435240.16353333
2022-07-10,XRP/USD,0.34478,0.34501,0.31919,0.32548,1890270.5145893542,5807639.53112128
2022-07-09,XRP/USD,0.34009,0.34769,0.33901,0.34478,852318.068721886,2472063.54406255
2022-07-08,XRP/USD,0.34189,0.35879,0.3356,0.34031,4378451.294225393,12866067.09830858
2022-07-07,XRP/USD,0.33226,0.34501,0.32663,0.3419,1599950.9252932346,4679587.38020835
2022-07-06,XRP/USD,0.32494,0.3339,0.31968,0.33206,994631.6118404616,2995337.02294905
2022-07-05,XRP/USD,0.32818,0.33088,0.31218,0.325,1306000.4786520023,4018463.01123693
2022-07-04,XRP/USD,0.3215,0.32998,0.31451,0.32809,1315206.729858934,4008676.67365337
2022-07-03,XRP/USD,0.31536,0.3256,0.30816,0.32124,1794860.0089372655,5587286.79161146
2022-07-02,XRP/USD,0.31419,0.31818,0.30915,0.31514,1057572.8147156674,3355882.51163187
2022-07-01,XRP/USD,0.33175,0.33625,0.30972,0.31415,2450210.843559645,7799493.37437417
2022-06-30,XRP/USD,0.32922,0.3331,0.30591,0.33182,3962665.5561481514,11942214.3214639
2022-06-29,XRP/USD,0.33727,0.34152,0.32004,0.32947,1358912.5533979526,4124541.09144369
2022-06-28,XRP/USD,0.35355,0.3557,0.3349,0.33734,1849030.3320600316,5481206.88936987
2022-06-27,XRP/USD,0.35925,0.36735,0.34778,0.35348,3278498.654995496,9274919.8115749
2022-06-26,XRP/USD,0.36666,0.3752,0.35765,0.35951,1404826.9815618885,3907615.87038438
