Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2021-12-06,LTC/USD,156.67,164.71,141.62,161.51,19263103.825376112,119268.79961226
2021-12-05,LTC/USD,163.04,165.07,148.17,156.61,21163027.4320382,135132.03136478
2021-12-04,LTC/USD,188.12,189.25,126.8,162.99,55480438.62729259,340391.67204916
2021-12-03,LTC/USD,203.86,208.22,180.06,188.27,14714649.191578232,78157.16360322
2021-12-02,LTC/USD,208.88,210.19,200.12,203.7,13267035.838908095,65130.26921408
2021-12-01,LTC/USD,208.01,217.79,205.01,208.93,14431891.25139125,69075.2465007
2021-11-30,LTC/USD,205.83,219.87,197.81,207.84,23912999.427283045,115054.84712896
2021-11-29,LTC/USD,199.66,209.72,195.47,205.87,19133111.275690127,92937.8310375
2021-11-28,LTC/USD,195.22,200.34,182.63,199.77,20955033.7221068,104895.79877913
2021-11-27,LTC/USD,195.97,201.16,191.19,195.44,9214700.597554665,47148.488526170004
2021-11-26,LTC/USD,223.57,225.12,189.75,195.97,42170113.94415307,215186.57929353
2021-11-25,LTC/USD,212.48,229.82,210.83,223.01,17606513.347098842,78949.43431729
2021-11-24,LTC/USD,216.41,217.69,206.12,212.42,18313110.53367678,86211.79989491
2021-11-23,LTC/USD,209.22,218.76,205.32,216.32,13427611.967325171,62072.91035191
2021-11-22,LTC/USD,221.79,222.1,205.4,209.28,26738162.208025575,127762.62522948
2021-11-21,LTC/USD,226.9,230.88,220.1,221.43,17742775.871880032,80128.14827205
2021-11-20,LTC/USD,218.12,227.71,213.15,227.08,28383815.05395525,124994.78181238
2021-11-19,LTC/USD,204.31,221.38,199.67,218.31,33959675.0796593,155557.1209732
2021-11-18,LTC/USD,229.72,232.39,199.8,204.22,43727369.91172244,214118.93992617
2021-11-17,LTC/USD,230.32,235.31,218.3,229.82,45997399.0185768,200145.32685831
2021-11-16,LTC/USD,262.89,263.05,221.95,230.33,94612960.34005389,410771.32957085
