Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2022-04-03,BTC/USD,45820.0,47600.0,45505.0,46390.0,139775284.7601941,3013.04774219
2022-04-02,BTC/USD,46301.01257854,47240.0,45636.0,45823.0,104213561.8483559,2274.2631833
2022-04-01,BTC/USD,45535.78349408,46740.70525005,44234.0,46301.0,183397941.49115232,3960.99309931
2022-03-31,BTC/USD,47048.94776884,47665.0,45190.19424317,45536.0,212097139.44277537,4657.79030751
2022-03-30,BTC/USD,47423.96908156,47675.0,46446.0,47049.0,202203863.10873994,4297.72924204
2022-03-29,BTC/USD,47120.0,48102.0,46952.0,47422.0,160233208.76845062,3378.87918621
2022-03-28,BTC/USD,46810.0,48192.0,46663.38081286,47120.0,300843664.218964,6384.62784845
2022-03-27,BTC/USD,44536.21835356,46864.0,44439.0,46813.0,264723369.30204502,5654.91144131
2022-03-26,BTC/USD,44336.0,44785.0,44112.0,44536.4262433,58508017.7524056,1313.71155451
2022-03-25,BTC/USD,44000.0,45082.0,43606.0,44337.0,193399113.42811328,4362.02524817
2022-03-24,BTC/USD,42886.85386804,44241.0,42587.0,44000.0,166415331.66235998,3782.16662869
2022-03-23,BTC/USD,42370.0,42995.0,41750.0,42885.0,118037463.11702146,2752.41840077
2022-03-22,BTC/USD,41010.41264944,43333.0,40878.0,42371.0,211796897.65104526,4998.62872368
2022-03-21,BTC/USD,41263.0,41544.0,40544.0,41011.0,107564305.3556554,2622.81596049
2022-03-20,BTC/USD,42212.66398374,42292.0,40931.0,41264.0,74659628.2199664,1809.3163101
2022-03-19,BTC/USD,41772.27591881,42425.0,41438.0,42213.0,90198029.11225033,2136.73581864
2022-03-18,BTC/USD,40949.46502595,42427.0,40161.0,41780.0,157634233.01041642,3772.95914338
2022-03-17,BTC/USD,41139.0,41499.0,40542.0,40942.58383825,93557532.26810321,2285.09105917
2022-03-16,BTC/USD,39323.0,41788.0,38878.0,41138.0,351470590.1112617,8543.69658494
2022-03-15,BTC/USD,39717.0,39966.0,38168.0,39316.64988671,208486640.27001724,5302.75699661
2022-03-14,BTC/USD,37779.0,40005.03139151,37450.0,39711.32170449,319548886.17507917,8046.79553486
2022-03-13,BTC/USD,38815.0,39325.0,37577.0,37776.0,129233743.94613265,3421.05421289
2022-03-12,BTC/USD,38739.0,39447.0,38679.0,38814.0,70185705.95331293,1808.25748321
2022-03-11,BTC/USD,39454.0,40239.0,38230.0,38737.0,370585129.7010606,9566.69669053
2022-03-10,BTC/USD,41968.0,42069.0,38633.0,39455.0,263340133.66324106,6674.44262231
2022-03-09,BTC/USD,38764.0,42607.0,38692.1802019,41976.0,250376258.46576816,5964.74791466
2022-03-08,BTC/USD,38018.58365775,39398.0,37888.0,38757.0,213644255.95647678,5512.40436454
2022-03-07,BTC/USD,38437.04838587,39583.0,37181.75600117,38021.0,257960072.5962824,6784.67353821
2022-03-06,BTC/USD,39414.0,39716.0,38120.0,38437.04838587,129459990.88626917,3368.10437645
2022-03-05,BTC/USD,39170.82640044,39628.0,38625.0,39419.0,86286701.54993148,2188.96221492
2022-03-04,BTC/USD,42489.0,42559.00615524,38621.0,39171.0,249927887.75359645,6380.43163957
2022-03-03,BTC/USD,43946.0,44112.33989793,41856.0,42489.0,165169406.37199175,3887.34510984
2022-03-02,BTC/USD,44442.0,45470.0,43378.82822903,43952.0,244939341.39470688,5572.88272194
2022-03-01,BTC/USD,43208.0,44952.0,42862.0,44441.0,281955191.1359512,6344.48349803
2022-02-28,BTC/USD,37739.64675691,44268.0,37496.0,43202.0,365009956.9750844,8448.91340621
2022-02-27,BTC/USD,39157.95514117,39892.0,37051.0,37734.2155012,206708503.47178918,5478.01248088
2022-02-26,BTC/USD,39252.0,40330.0,38633.0,39137.11917015,140497515.70252153,3589.87883323
