Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-04-19,SOL/USD,102.43,108.88,101.08,108.85,3029810.296190331,27834.72940919
2022-04-18,SOL/USD,100.17,102.62,94.71,102.41,3663429.467474222,35772.18501586
2022-04-17,SOL/USD,102.15,105.51,99.757,100.4,2302730.618274816,22935.56392704
2022-04-16,SOL/USD,101.45,103.54,100.8,102.19,1301473.7860221888,12735.82332931
2022-04-15,SOL/USD,100.75,102.92,99.551,101.42,2112672.378397524,20830.92465389
2022-04-14,SOL/USD,104.71,107.68,98.862,100.76,3040824.546320907,30178.88593014
2022-04-13,SOL/USD,103.34,106.05,100.17,104.84,3089349.7735175085,29467.281319319998
2022-04-12,SOL/USD,99.71,109.31,98.486,103.27,5809929.730833294,56259.60812272
2022-04-11,SOL/USD,111.12,111.95,98.165,99.369,5818903.883218541,58558.54324003
2022-04-10,SOL/USD,113.16,116.17,109.89,111.21,3223169.954527934,28982.73495664
2022-04-09,SOL/USD,109.93,113.52,108.44,112.83,1959149.5852808312,17363.72937411
2022-04-08,SOL/USD,118.48,122.36,108.17,110.07,5010412.142689493,45520.23387562
2022-04-07,SOL/USD,112.94,119.95,111.01,118.58,5557570.895643259,46867.69181686
2022-04-06,SOL/USD,126.85,127.4,112.24,113.13,12124951.036522044,107177.15050404
2022-04-05,SOL/USD,132.18,136.68,126.1,126.8,4748572.065060972,37449.30650679
2022-04-04,SOL/USD,136.86,138.31,126.0,132.11,7820291.263225784,59195.30136421
2022-04-03,SOL/USD,132.56,141.07,130.72,136.69,12240806.211072102,89551.58542009
2022-04-02,SOL/USD,134.61,143.5,131.48,132.46,7285464.829226358,55001.24436982
2022-04-01,SOL/USD,122.85,139.41,117.69,134.65,19448154.571322262,144434.86499311
2022-03-31,SOL/USD,120.8,129.49,119.91,122.86,11230805.638413627,91411.40841945
2022-03-30,SOL/USD,111.52,125.56,107.13,120.24,11533347.555606805,95919.39084836
2022-03-29,SOL/USD,105.78,115.65,105.57,111.7,8563994.68954828,76669.6033084
2022-03-28,SOL/USD,107.03,113.82,105.19,105.59,6659754.859424837,63071.83312269
2022-03-27,SOL/USD,101.81,107.38,98.779,106.99,4339746.278059668,40562.16728722
2022-03-26,SOL/USD,98.61,103.45,97.718,101.88,2925585.8824312477,28715.99806077
2022-03-25,SOL/USD,102.33,104.82,97.159,98.544,3972578.9647044754,40312.74318786
2022-03-24,SOL/USD,94.9,103.74,93.441,102.35,5641892.580079641,55123.52301006
