Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_LTC,Volume_USD
2022-09-11 04:00:00,Gemini,LTC/USD,63.77,63.8,60.57,60.62,14675.02332,889599.9136584
2022-09-10 04:00:00,Gemini,LTC/USD,61.53,64.71,60.72,63.77,7954.84712,507280.60084240005
2022-09-09 04:00:00,Gemini,LTC/USD,59.46,61.93,59.38,61.53,32449.52663,1996619.3735439
2022-09-08 04:00:00,Gemini,LTC/USD,56.92,59.92,56.09,59.46,14551.50642,865232.5717332
2022-09-07 04:00:00,Gemini,LTC/USD,53.51,58.29,53.51,56.92,3736.74624,212695.5959808
2022-09-06 04:00:00,Gemini,LTC/USD,60.13,60.59,52.89,53.51,17284.86175,924912.9522424999
2022-09-05 04:00:00,Gemini,LTC/USD,60.72,62.68,59.26,60.13,10673.53083,641799.4088079
2022-09-04 04:00:00,Gemini,LTC/USD,59.69,61.59,58.65,60.72,8145.13994,494572.89715679997
2022-09-03 04:00:00,Gemini,LTC/USD,61.33,62.2,59.13,59.69,9212.87959,549916.7827271
2022-09-02 04:00:00,Gemini,LTC/USD,57.79,62.4,56.9,61.33,14592.83251,894978.4178383
2022-09-01 04:00:00,Gemini,LTC/USD,54.27,58.09,54.16,57.79,10712.62111,619082.3739469
2022-08-31 04:00:00,Gemini,LTC/USD,54.68,56.07,53.24,54.27,6061.11656,328936.79571120004
2022-08-30 04:00:00,Gemini,LTC/USD,55.67,56.31,51.84,54.68,8839.40442,483338.6336856
2022-08-29 04:00:00,Gemini,LTC/USD,54.87,56.7,53.76,55.67,10618.99663,591159.5423921
2022-08-28 04:00:00,Gemini,LTC/USD,52.85,55.99,52.52,54.87,9929.64638,544839.6968706
2022-08-27 04:00:00,Gemini,LTC/USD,52.76,53.41,51.72,52.85,5641.93114,298176.060749
2022-08-26 04:00:00,Gemini,LTC/USD,56.28,58.37,52.11,52.76,14076.8046,742692.2106959999
2022-08-25 04:00:00,Gemini,LTC/USD,56.15,57.52,55.85,56.28,11047.97958,621780.2907624
2022-08-24 04:00:00,Gemini,LTC/USD,55.96,57.53,55.96,56.15,4359.71359,244797.91807850002
2022-08-23 04:00:00,Gemini,LTC/USD,56.11,57.67,53.99,55.96,13100.92808,733127.9353568
2022-08-22 04:00:00,Gemini,LTC/USD,54.7,57.55,52.33,56.11,12627.31613,708518.7080542999
2022-08-21 04:00:00,Gemini,LTC/USD,54.02,55.97,53.64,54.7,5967.12849,326401.928403
2022-08-20 04:00:00,Gemini,LTC/USD,54.92,55.58,52.71,54.02,5682.86324,306988.2722248
2022-08-19 04:00:00,Gemini,LTC/USD,58.83,59.02,53.29,54.92,14054.64307,771880.9974044
2022-08-18 04:00:00,Gemini,LTC/USD,60.81,61.68,58.06,58.83,12166.54037,715757.5699671
2022-08-17 04:00:00,Gemini,LTC/USD,63.84,64.7,59.67,60.81,11921.67634,724957.1382354001
2022-08-16 04:00:00,Gemini,LTC/USD,60.81,64.32,60.12,63.84,8506.16087,543033.3099408
2022-08-15 04:00:00,Gemini,LTC/USD,64.62,64.62,59.72,60.81,16387.79752,996541.9671912
2022-08-14 04:00:00,Gemini,LTC/USD,64.82,65.8,62.47,64.62,11083.10982,716190.5565684
2022-08-13 04:00:00,Gemini,LTC/USD,64.0,65.71,63.3,64.82,3491.74552,226334.94460639998
2022-08-12 04:00:00,Gemini,LTC/USD,61.92,64.0,60.72,64.0,10131.85173,648438.51072
2022-08-11 04:00:00,Gemini,LTC/USD,62.06,62.9,60.89,61.92,3764.07403,233071.46393760003
2022-08-10 04:00:00,Gemini,LTC/USD,58.41,62.6,57.98,62.06,10737.24283,666353.2900298
2022-08-09 04:00:00,Gemini,LTC/USD,62.54,62.83,57.57,58.41,13332.28181,778738.5805221
2022-08-08 04:00:00,Gemini,LTC/USD,61.37,64.08,61.29,62.54,11974.9189,748911.428006
2022-08-07 04:00:00,Gemini,LTC/USD,60.45,62.03,60.28,61.37,6850.4379,420411.37392299995
2022-08-06 04:00:00,Gemini,LTC/USD,61.78,61.94,59.95,60.45,5837.19778,352858.605801
2022-08-05 04:00:00,Gemini,LTC/USD,61.5,62.55,60.44,61.78,9619.07206,594266.2718668
2022-08-04 04:00:00,Gemini,LTC/USD,58.88,61.58,58.03,61.5,8917.83992,548447.15508
2022-08-03 04:00:00,Gemini,LTC/USD,57.54,60.12,57.34,58.88,6014.8508,354154.415104
2022-08-02 04:00:00,Gemini,LTC/USD,57.17,59.68,56.65,57.54,11785.98665,678165.6718410001
2022-08-01 04:00:00,Gemini,LTC/USD,60.06,60.56,56.9,57.17,25317.69886,1447412.8438262
2022-07-31 04:00:00,Gemini,LTC/USD,60.96,63.0,59.36,60.06,11737.86299,704976.0511794
2022-07-30 04:00:00,Gemini,LTC/USD,61.34,64.11,60.0,60.96,10858.53266,661936.1509536001
2022-07-29 04:00:00,Gemini,LTC/USD,63.68,64.54,59.8,61.34,11666.05598,715595.8738132
2022-07-28 04:00:00,Gemini,LTC/USD,59.96,64.18,59.96,63.68,8829.64954,562272.0827072
2022-07-27 04:00:00,Gemini,LTC/USD,53.15,60.6,53.15,59.96,16283.32491,976348.1616036
2022-07-26 04:00:00,Gemini,LTC/USD,53.57,53.99,52.0,53.15,10315.61186,548274.7703590001
2022-07-25 04:00:00,Gemini,LTC/USD,56.12,56.81,52.84,53.57,9672.03414,518130.86887979996
2022-07-24 04:00:00,Gemini,LTC/USD,56.95,59.81,55.9,56.12,12659.51703,710452.0957236
2022-07-23 04:00:00,Gemini,LTC/USD,56.52,57.23,54.52,56.95,11655.91684,663804.464038
2022-07-22 04:00:00,Gemini,LTC/USD,57.56,59.21,55.43,56.52,19795.23974,1118826.9501048
2022-07-21 04:00:00,Gemini,LTC/USD,55.76,58.72,55.33,57.56,12176.79358,700896.2384648001
2022-07-20 04:00:00,Gemini,LTC/USD,58.37,61.75,55.14,55.76,29184.95473,1627353.0757448
2022-07-19 04:00:00,Gemini,LTC/USD,56.37,58.94,55.79,58.37,27327.79697,1595123.5091388999
2022-07-18 04:00:00,Gemini,LTC/USD,57.41,59.59,56.0,56.37,31668.97042,1785179.8625754
2022-07-17 04:00:00,Gemini,LTC/USD,55.55,57.86,54.5,57.41,18906.24067,1085407.2768646998
2022-07-16 04:00:00,Gemini,LTC/USD,51.51,56.2,51.11,55.55,22115.92851,1228539.8287305
2022-07-15 04:00:00,Gemini,LTC/USD,51.38,52.68,50.75,51.51,11682.11228,601745.6035428
2022-07-14 04:00:00,Gemini,LTC/USD,49.3,51.87,47.99,51.38,14519.91065,746033.0091970001
2022-07-13 04:00:00,Gemini,LTC/USD,47.82,49.79,47.82,49.3,4068.57796,200580.89342799998
2022-07-12 04:00:00,Gemini,LTC/USD,48.65,49.1,46.74,47.82,8148.58368,389665.2715776
2022-07-11 04:00:00,Gemini,LTC/USD,51.24,51.42,48.23,48.65,13528.98622,658185.179603
2022-07-10 04:00:00,Gemini,LTC/USD,53.93,55.02,50.71,51.24,11408.1861,584555.4557640001
2022-07-09 04:00:00,Gemini,LTC/USD,51.9,54.71,51.6,53.93,16305.76735,879370.0331855
2022-07-08 04:00:00,Gemini,LTC/USD,53.53,53.72,50.76,51.9,13009.87494,675212.509386
