Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ETH,Volume_USD
2022-06-01 04:00:00,Gemini,ETH/USD,1928.48,1971.0,1761.42,1812.03,21181.374566,38381286.15482898
2022-05-31 04:00:00,Gemini,ETH/USD,1992.96,1999.07,1924.65,1928.48,15652.62355,30185771.463704
2022-05-30 04:00:00,Gemini,ETH/USD,1878.54,2014.69,1867.82,1992.96,21367.11405,42583803.617088
2022-05-29 04:00:00,Gemini,ETH/USD,1775.75,1887.11,1768.72,1878.54,8447.005874,15868038.41454396
2022-05-28 04:00:00,Gemini,ETH/USD,1763.32,1806.74,1747.86,1775.75,7614.391052,13521254.910589
2022-05-27 04:00:00,Gemini,ETH/USD,1766.41,1820.46,1699.99,1763.32,31250.261591,55104211.26864211
2022-05-26 04:00:00,Gemini,ETH/USD,1947.93,1947.93,1726.3,1766.41,6830.171705,12064883.60142905
2022-05-25 04:00:00,Gemini,ETH/USD,2012.18,2012.18,1931.38,1947.93,461.828079,899608.76992647
2022-05-24 04:00:00,Gemini,ETH/USD,1985.25,2019.53,1909.08,2012.18,16844.829935,33894829.898608305
2022-05-23 04:00:00,Gemini,ETH/USD,2028.38,2086.88,1955.0,1985.25,13144.924947,26095962.25103175
2022-05-22 04:00:00,Gemini,ETH/USD,1972.44,2054.86,1964.07,2028.38,7572.996345,15360914.3262711
2022-05-21 04:00:00,Gemini,ETH/USD,1967.33,1988.02,1955.0,1972.44,4880.668694,9626826.15879336
2022-05-20 04:00:00,Gemini,ETH/USD,2022.03,2099.9,1920.49,1967.33,10030.687238,19733671.92393454
2022-05-19 04:00:00,Gemini,ETH/USD,1951.36,2051.55,1912.06,2022.03,9371.795912,18950052.48794136
2022-05-18 04:00:00,Gemini,ETH/USD,2038.31,2050.93,1900.8,1951.36,13340.517591,26032152.406373758
2022-05-17 04:00:00,Gemini,ETH/USD,2071.14,2119.1,2006.18,2038.31,9077.706354,18503179.63842174
2022-05-16 04:00:00,Gemini,ETH/USD,2073.44,2080.02,1976.73,2071.14,12217.72252,25304613.820072796
2022-05-15 04:00:00,Gemini,ETH/USD,2011.85,2162.56,2000.01,2073.44,9165.240252,19003575.74810688
2022-05-14 04:00:00,Gemini,ETH/USD,2050.06,2075.45,1947.19,2011.85,8241.852473,16581370.89780505
2022-05-13 04:00:00,Gemini,ETH/USD,2089.98,2145.0,1997.4,2050.06,19717.824255,40422722.7922053
2022-05-12 04:00:00,Gemini,ETH/USD,1962.21,2104.99,1700.0,2089.98,72007.39011,150494005.1820978
2022-05-11 04:00:00,Gemini,ETH/USD,2360.6,2382.99,1962.1,1962.21,50017.250553,98144349.20760213
2022-05-10 04:00:00,Gemini,ETH/USD,2343.1,2456.38,2260.29,2360.6,21411.057084,50542941.352490395
2022-05-09 04:00:00,Gemini,ETH/USD,2457.0,2478.18,2200.0,2343.1,39416.331006,92356405.1801586
2022-05-08 04:00:00,Gemini,ETH/USD,2546.29,2577.83,2422.67,2457.0,12271.973014,30152237.695398
2022-05-07 04:00:00,Gemini,ETH/USD,2668.53,2703.12,2517.83,2546.29,8085.297768,20587512.853680722
2022-05-06 04:00:00,Gemini,ETH/USD,2745.27,2755.23,2629.78,2668.53,14821.616257,39551927.630292214
