Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_BTC,Volume_USDT,Tradecount
2022-02-22,Binance,BTCUSDT,37008.16,38429.0,36350.0,38230.33,53785.94589,2010628230.7549179,1212527.0
2022-02-21,Binance,BTCUSDT,38386.89,39494.35,36800.0,37008.16,62347.68496,2382027320.8617606,1352290.0
2022-02-20,Binance,BTCUSDT,40079.17,40125.44,38000.0,38386.89,33439.29011,1293216601.4518797,811235.0
2022-02-19,Binance,BTCUSDT,39974.45,40444.32,39639.03,40079.17,18042.0551,721960636.0646691,586653.0
2022-02-18,Binance,BTCUSDT,40515.71,40959.88,39450.0,39974.44,43845.92241,1765622365.952756,1025882.0
2022-02-17,Binance,BTCUSDT,43873.56,44164.71,40073.21,40515.7,47245.99494,1993400162.948067,1067658.0
2022-02-16,Binance,BTCUSDT,44544.85,44549.97,43307.0,43873.56,28471.8727,1250973502.301845,823745.0
2022-02-15,Binance,BTCUSDT,42535.94,44751.4,42427.03,44544.86,38095.19576,1672855933.625659,990694.0
2022-02-14,Binance,BTCUSDT,42053.65,42842.4,41550.56,42535.94,34010.1306,1436927831.4445863,867622.0
2022-02-13,Binance,BTCUSDT,42217.87,42760.0,41870.0,42053.66,17732.08113,750533311.6529565,624898.0
2022-02-12,Binance,BTCUSDT,42373.73,43079.49,41688.88,42217.87,26556.85681,1123136004.7237244,830322.0
2022-02-11,Binance,BTCUSDT,43495.44,43920.0,41938.51,42373.73,44975.1687,1937866768.5059533,1169354.0
2022-02-10,Binance,BTCUSDT,44372.71,45821.0,43174.01,43495.44,62357.29091,2772188373.2227836,1541483.0
2022-02-09,Binance,BTCUSDT,44043.0,44799.0,43117.92,44372.72,34428.16729,1512500139.1430995,1066395.0
2022-02-08,Binance,BTCUSDT,43839.99,45492.0,42666.0,44042.99,64880.29387,2847485971.4977336,1653350.0
2022-02-07,Binance,BTCUSDT,42380.87,44500.5,41645.85,43839.99,51060.62006,2204523609.9033957,1473274.0
2022-02-06,Binance,BTCUSDT,41382.6,42656.0,41116.56,42380.87,22405.16704,934168802.8801152,788291.0
2022-02-05,Binance,BTCUSDT,41571.7,41913.69,40843.01,41382.59,32532.34372,1349805515.9300365,1006352.0
2022-02-04,Binance,BTCUSDT,37311.98,41772.33,37026.73,41574.25,64703.95874,2526572562.0582848,1380724.0
2022-02-03,Binance,BTCUSDT,36896.37,37387.0,36250.0,37311.61,32081.10999,1179502838.6566265,848961.0
2022-02-02,Binance,BTCUSDT,38694.59,38855.92,36586.95,36896.36,35794.6813,1353093948.9776013,907905.0
2022-02-01,Binance,BTCUSDT,38466.9,39265.2,38000.0,38694.59,34574.44663,1334266166.7099986,917617.0
2022-01-31,Binance,BTCUSDT,37881.75,38744.0,36632.61,38466.9,36855.2458,1386754529.0295446,936014.0
2022-01-30,Binance,BTCUSDT,38166.83,38359.26,37351.63,37881.76,21430.66527,812750216.6010319,698593.0
2022-01-29,Binance,BTCUSDT,37716.57,38720.74,37268.44,38166.84,26129.49682,989652386.9966494,816601.0
2022-01-28,Binance,BTCUSDT,37160.11,38000.0,36155.01,37716.56,42154.26956,1560203931.220128,1061101.0
2022-01-27,Binance,BTCUSDT,36807.24,37234.47,35507.01,37160.1,53020.87934,1925920128.3436606,1308408.0
2022-01-26,Binance,BTCUSDT,36958.32,38919.98,36234.63,36809.34,69830.16036,2627491976.6908574,1584468.0
2022-01-25,Binance,BTCUSDT,36660.35,37545.14,35701.0,36958.32,49232.40183,1799224214.4997392,1248246.0
2022-01-24,Binance,BTCUSDT,36244.55,37550.0,32917.17,36660.35,91904.753211,3192041586.10319,1999352.0
2022-01-23,Binance,BTCUSDT,35071.42,36499.0,34601.01,36244.55,44279.52354,1572414639.0428774,1142407.0
2022-01-22,Binance,BTCUSDT,36445.31,36835.22,34008.0,35071.42,90471.338961,3207531048.0306516,2099978.0
2022-01-21,Binance,BTCUSDT,40680.92,41100.0,35440.45,36445.31,88860.891999,3405501703.2219367,2092561.0
2022-01-20,Binance,BTCUSDT,41660.0,43505.0,40553.31,40680.91,42330.33953,1784801200.4044871,1098761.0
2022-01-19,Binance,BTCUSDT,42352.12,42559.13,41138.56,41660.01,31685.72159,1327478459.1602297,924528.0
2022-01-18,Binance,BTCUSDT,42201.63,42691.0,41250.0,42352.12,29324.08257,1228459687.3994458,905061.0
2022-01-17,Binance,BTCUSDT,43071.66,43176.18,41540.42,42201.62,27562.08613,1169381684.4668436,918029.0
2022-01-16,Binance,BTCUSDT,43084.29,43475.0,42581.79,43071.66,20602.35271,887203134.0531468,732171.0
2022-01-15,Binance,BTCUSDT,43059.96,43800.0,42555.0,43084.29,21936.05616,946488263.548448,752688.0
2022-01-14,Binance,BTCUSDT,42558.35,43448.78,41725.95,43059.96,32640.88292,1392000443.3501673,946938.0
2022-01-13,Binance,BTCUSDT,43902.65,44500.0,42311.22,42560.11,34910.87762,1515944525.4954946,1036234.0
2022-01-12,Binance,BTCUSDT,42729.29,44322.0,42450.0,43902.66,33943.2928,1470906437.7120714,1023902.0
2022-01-11,Binance,BTCUSDT,41822.49,43100.0,41268.93,42729.29,37296.43729,1574803608.9600787,1015526.0
2022-01-10,Binance,BTCUSDT,41864.62,42248.5,39650.0,41822.49,50729.17019,2088111339.5055964,1250983.0
2022-01-09,Binance,BTCUSDT,41679.74,42786.7,41200.02,41864.62,22724.39426,952830064.5125848,752733.0
2022-01-08,Binance,BTCUSDT,41566.48,42300.0,40501.0,41679.74,32952.73111,1367233494.8277667,1021908.0
2022-01-07,Binance,BTCUSDT,43082.3,43145.83,40610.0,41566.48,54836.50818,2293851015.4652367,1406635.0
2022-01-06,Binance,BTCUSDT,43451.14,43816.0,42430.58,43082.31,38880.37305,1674466154.4383326,1150707.0
2022-01-05,Binance,BTCUSDT,45832.01,47070.0,42500.0,43451.13,51784.11857,2334288544.645448,1478532.0
2022-01-04,Binance,BTCUSDT,46446.1,47557.54,45500.0,45832.01,35491.4136,1649170424.1276135,1021815.0
2022-01-03,Binance,BTCUSDT,47286.18,47570.0,45696.0,46446.1,27662.0771,1292203508.3256547,885624.0
2022-01-02,Binance,BTCUSDT,47722.66,47990.0,46654.0,47286.18,18340.4604,866610995.5633582,709624.0
2022-01-01,Binance,BTCUSDT,46216.93,47954.63,46208.37,47722.65,19604.46325,924155159.5834864,714899.0
2021-12-31,Binance,BTCUSDT,47120.88,48548.26,45678.0,46216.93,34937.99796,1650715977.918517,1059783.0
2021-12-30,Binance,BTCUSDT,46464.66,47900.0,45900.0,47120.87,30352.29569,1428755720.453203,910157.0
2021-12-29,Binance,BTCUSDT,47543.74,48139.08,46096.99,46464.66,39498.87,1873785571.2732966,1114074.0
2021-12-28,Binance,BTCUSDT,50701.44,50704.05,47313.01,47543.74,45853.33924,2242102220.9310036,1345774.0
2021-12-27,Binance,BTCUSDT,50775.48,52088.0,50449.0,50701.44,28779.58212,1471423612.091862,1009238.0
2021-12-26,Binance,BTCUSDT,50399.67,51280.0,49412.0,50775.49,22569.88914,1132200241.5624182,797133.0
2021-12-25,Binance,BTCUSDT,50819.99,51156.23,50142.32,50399.66,19135.51613,971491029.130824,766979.0
2021-12-24,Binance,BTCUSDT,50838.82,51810.0,50384.43,50820.0,31661.94946,1616919305.7036664,1074410.0
2021-12-23,Binance,BTCUSDT,48588.17,51375.0,47920.42,50838.81,35192.54046,1738129830.7814522,1176050.0
2021-12-22,Binance,BTCUSDT,48887.59,49576.13,48421.87,48588.16,27004.2022,1322418595.3337295,949480.0
2021-12-21,Binance,BTCUSDT,46914.17,49328.96,46630.0,48889.88,37713.92924,1827234149.05988,1119412.0
2021-12-20,Binance,BTCUSDT,46681.24,47537.57,45558.85,46914.16,35848.50609,1663363117.8304534,1076488.0
2021-12-19,Binance,BTCUSDT,46834.47,48300.01,46406.91,46681.23,29305.70665,1384958598.3627698,874827.0
2021-12-18,Binance,BTCUSDT,46133.83,47392.37,45500.0,46834.48,25020.05271,1165205135.7008429,862066.0
2021-12-17,Binance,BTCUSDT,47632.38,47995.96,45456.0,46131.2,43104.4887,2015966349.5161326,1261780.0
2021-12-16,Binance,BTCUSDT,48864.98,49436.43,47511.0,47632.38,31949.86739,1551200654.0527449,1023983.0
2021-12-15,Binance,BTCUSDT,48336.95,49500.0,46547.0,48864.98,51629.181,2487012309.091549,1438176.0
2021-12-14,Binance,BTCUSDT,46702.76,48700.41,46290.0,48343.28,39955.98445,1887427362.4740965,1194992.0
2021-12-13,Binance,BTCUSDT,50053.9,50189.97,45672.75,46702.75,50869.52093,2423888500.7903047,1399599.0
2021-12-12,Binance,BTCUSDT,49389.99,50777.0,48638.0,50053.9,26017.93421,1292315883.6245537,863605.0
2021-12-11,Binance,BTCUSDT,47140.54,49485.71,46751.0,49389.99,28889.19358,1397524635.5814018,957390.0
2021-12-10,Binance,BTCUSDT,47535.9,50125.0,46852.0,47140.54,44233.57391,2135023722.8531518,1215231.0
2021-12-09,Binance,BTCUSDT,50471.19,50797.76,47320.0,47545.59,37692.68665,1841474998.8951101,1130599.0
2021-12-08,Binance,BTCUSDT,50588.95,51200.0,48600.0,50471.19,38425.92466,1925458787.114752,1118225.0
2021-12-07,Binance,BTCUSDT,50441.91,51936.33,50039.74,50588.95,38253.46877,1950573500.2086656,1212350.0
2021-12-06,Binance,BTCUSDT,49396.32,50891.11,47100.0,50441.92,58571.21575,2851528919.1795363,1741956.0
2021-12-05,Binance,BTCUSDT,49152.46,49699.05,47727.21,49396.33,45580.82012,2231486105.843912,1371839.0
2021-12-04,Binance,BTCUSDT,53601.05,53859.1,42000.3,49152.47,114203.373748,5495712061.978532,3362771.0
2021-12-03,Binance,BTCUSDT,56484.26,57600.0,51680.0,53601.05,58927.69027,3246198505.9468513,1865063.0
2021-12-02,Binance,BTCUSDT,57184.07,57375.47,55777.77,56480.34,37574.05976,2127110102.107309,1307890.0
2021-12-01,Binance,BTCUSDT,56950.56,59053.55,56458.01,57184.07,44956.63656,2584928714.0757422,1442301.0
2021-11-30,Binance,BTCUSDT,57776.25,59176.99,55875.55,56950.56,49161.05194,2823644073.0219045,1587472.0
2021-11-29,Binance,BTCUSDT,57274.89,58865.97,56666.67,57776.25,40125.28009,2313371348.113543,1349625.0
2021-11-28,Binance,BTCUSDT,54716.47,57445.05,53256.64,57274.88,36163.7137,1982198373.5328348,1253408.0
2021-11-27,Binance,BTCUSDT,53723.72,55280.0,53610.0,54721.03,29716.99957,1623173123.4917314,1110145.0
2021-11-26,Binance,BTCUSDT,58960.37,59150.0,53500.0,53726.53,65927.87066,3649353860.4295673,2138184.0
2021-11-25,Binance,BTCUSDT,57138.29,59398.9,57000.0,58960.36,42153.51522,2455658857.7005925,1604266.0
2021-11-24,Binance,BTCUSDT,57541.26,57735.0,55837.0,57138.29,39612.04964,2246374244.330568,1432991.0
2021-11-23,Binance,BTCUSDT,56243.83,58009.99,55317.0,57541.27,49917.85017,2837210673.4885187,1570845.0
2021-11-22,Binance,BTCUSDT,58617.7,59444.0,55610.0,56247.18,51724.32047,2968622334.137657,1624768.0
2021-11-21,Binance,BTCUSDT,59707.52,60029.76,58486.65,58622.02,31902.22785,1886578154.5167084,1249219.0
2021-11-20,Binance,BTCUSDT,58057.1,59845.0,57353.0,59707.51,33811.5901,1982718831.1570768,1200190.0
2021-11-19,Binance,BTCUSDT,56891.62,58320.0,55600.0,58052.24,50715.88726,2896189975.910774,1560459.0
2021-11-18,Binance,BTCUSDT,60344.86,60976.0,56474.26,56891.62,62146.99931,3644824179.1448526,1960419.0
2021-11-17,Binance,BTCUSDT,60058.87,60840.23,58373.0,60344.87,46289.38491,2767802055.200423,1471305.0
2021-11-16,Binance,BTCUSDT,63606.73,63617.31,58574.07,60058.87,77455.15609,4705744041.299647,2353681.0
2021-11-15,Binance,BTCUSDT,65519.11,66401.82,63400.0,63606.74,37829.37124,2460915922.876128,1305209.0
2021-11-14,Binance,BTCUSDT,64380.01,65550.51,63576.27,65519.1,25705.07347,1658473781.2937696,951393.0
2021-11-13,Binance,BTCUSDT,64122.22,65000.0,63360.22,64380.0,22504.97383,1442441613.5983922,904149.0
2021-11-12,Binance,BTCUSDT,64774.25,65450.7,62278.0,64122.23,44490.10816,2844286547.504041,1479149.0
2021-11-11,Binance,BTCUSDT,64882.42,65600.07,64100.0,64774.26,37237.98058,2415537333.57771,1327827.0
2021-11-10,Binance,BTCUSDT,66947.67,69000.0,62822.9,64882.43,65171.504046,4335575752.805223,2347934.0
2021-11-09,Binance,BTCUSDT,67525.82,68524.25,66222.4,66947.66,44661.378068,3014326962.087268,1847655.0
2021-11-08,Binance,BTCUSDT,63273.58,67789.0,63273.58,67525.83,54442.094554,3575716171.0442996,2349581.0
2021-11-07,Binance,BTCUSDT,61470.62,63286.35,61322.78,63273.59,25515.6883,1585744720.1997721,1068629.0
2021-11-06,Binance,BTCUSDT,60940.18,61560.49,60050.0,61470.61,25590.57408,1556774943.5537283,965309.0
2021-11-05,Binance,BTCUSDT,61395.01,62595.72,60721.0,60937.12,31604.48749,1943346371.470386,1243074.0
2021-11-04,Binance,BTCUSDT,62896.49,63086.31,60677.01,61395.01,35930.93314,2218138026.7045407,1346081.0
2021-11-03,Binance,BTCUSDT,63220.57,63500.0,60382.76,62896.48,43336.09049,2713389500.4663587,1601925.0
2021-11-02,Binance,BTCUSDT,60911.12,64270.0,60624.68,63219.99,46368.2841,2909221038.40065,1858362.0
2021-11-01,Binance,BTCUSDT,61299.81,62437.74,59405.0,60911.11,44687.66672,2737282804.738131,1472636.0
2021-10-31,Binance,BTCUSDT,61859.19,62405.3,59945.36,61299.8,39267.63794,2396556477.343494,1563417.0
2021-10-30,Binance,BTCUSDT,62253.7,62359.25,60673.0,61859.19,31478.12566,1937860260.4380624,1197748.0
2021-10-29,Binance,BTCUSDT,60575.9,62980.0,60174.81,62253.71,43973.90414,2706090987.3096256,1417344.0
2021-10-28,Binance,BTCUSDT,58413.44,62499.0,57820.0,60575.89,61056.35301,3677629851.059607,1878275.0
2021-10-27,Binance,BTCUSDT,60328.81,61496.0,58000.0,58413.44,62124.49016,3688306192.9724174,1913083.0
2021-10-26,Binance,BTCUSDT,63078.78,63293.48,59817.55,60328.81,40217.50083,2492606133.3189454,1334460.0
2021-10-25,Binance,BTCUSDT,60852.22,63710.63,60650.0,63078.78,36853.83806,2309339650.1093802,1270453.0
2021-10-24,Binance,BTCUSDT,61286.75,61500.0,59510.63,60852.22,31226.57676,1889694558.9504948,1052085.0
2021-10-23,Binance,BTCUSDT,60688.23,61747.64,59562.15,61286.75,27626.93678,1686121722.2187824,982103.0
2021-10-22,Binance,BTCUSDT,62193.15,63732.39,60000.0,60688.22,52119.35886,3229377744.311425,1555280.0
2021-10-21,Binance,BTCUSDT,66001.4,66639.74,62000.0,62193.15,68538.64537,4407757970.879756,2181665.0
2021-10-20,Binance,BTCUSDT,64280.59,67000.0,63481.4,66001.41,51428.934856,3362878816.4045925,1823286.0
2021-10-19,Binance,BTCUSDT,62005.6,64486.0,61322.22,64280.59,53628.107744,3370863940.269437,1755708.0
2021-10-18,Binance,BTCUSDT,61528.32,62695.78,59844.45,62009.84,51798.44844,3195091233.4205527,1629184.0
2021-10-17,Binance,BTCUSDT,60875.57,61718.39,58963.0,61528.33,39099.24124,2371696294.797305,1331655.0
2021-10-16,Binance,BTCUSDT,61672.42,62378.42,60150.0,60875.57,35467.88096,2173374058.808911,1360379.0
2021-10-15,Binance,BTCUSDT,57347.94,62933.0,56850.0,61672.42,82512.908022,4959389368.726733,2649137.0
2021-10-14,Binance,BTCUSDT,57370.83,58532.54,56818.05,57347.94,43053.336781,2481915791.591235,1372048.0
2021-10-13,Binance,BTCUSDT,55996.91,57777.0,54167.19,57367.0,55808.44492,3123307687.477303,1610489.0
2021-10-12,Binance,BTCUSDT,57471.35,57680.0,53879.0,55996.93,53471.2855,3017210682.8859496,1554412.0
2021-10-11,Binance,BTCUSDT,54659.01,57839.04,54415.06,57471.35,52933.165751,2994673617.7236485,1690409.0
2021-10-10,Binance,BTCUSDT,54949.72,56561.31,54080.0,54659.0,89237.836128,4923958325.389875,2427176.0
2021-10-09,Binance,BTCUSDT,53955.67,55489.0,53661.67,54949.72,55177.08013,3024862790.6955924,1609483.0
2021-10-08,Binance,BTCUSDT,53785.22,56100.0,53617.61,53951.43,46160.25785,2522087625.0940795,1548832.0
2021-10-07,Binance,BTCUSDT,55315.0,55332.31,53357.0,53785.22,54917.37766,2983143121.088643,1703147.0
2021-10-06,Binance,BTCUSDT,51471.99,55750.0,50382.41,55315.0,79877.545181,4236927265.3815217,2443126.0
2021-10-05,Binance,BTCUSDT,49224.93,51886.3,49022.4,51471.99,52125.66793,2618101829.017722,1641651.0
2021-10-04,Binance,BTCUSDT,48200.01,49536.12,46891.0,49224.94,46796.49372,2258464361.1263566,1437692.0
2021-10-03,Binance,BTCUSDT,47634.89,49228.08,47088.0,48200.01,30825.05601,1482764462.1905773,1114294.0
2021-10-02,Binance,BTCUSDT,48141.6,48336.59,47430.18,47634.9,30508.98131,1459064880.5324447,996116.0
2021-10-01,Binance,BTCUSDT,43820.01,48495.0,43283.03,48141.61,66244.87492,3076094886.5924745,1771237.0
2021-09-30,Binance,BTCUSDT,41524.29,44141.37,41410.17,43824.1,46381.22781,2005486003.5646772,1197815.0
2021-09-29,Binance,BTCUSDT,41025.01,42590.0,40753.88,41524.28,33511.53487,1399625476.0563762,884909.0
2021-09-28,Binance,BTCUSDT,42147.35,42787.38,40888.0,41026.54,43372.2624,1816305387.8388581,1045389.0
2021-09-27,Binance,BTCUSDT,43160.9,44350.0,42098.0,42147.35,39776.84383,1728912299.8034244,1001487.0
2021-09-26,Binance,BTCUSDT,42670.63,43950.0,40750.0,43160.9,49879.99765,2124657079.2797763,1374145.0
2021-09-25,Binance,BTCUSDT,42810.58,42966.84,41646.28,42670.64,33594.57189,1428238748.2095258,949787.0
2021-09-24,Binance,BTCUSDT,44865.26,45200.0,40675.0,42810.57,84113.426292,3596718231.0505486,1819744.0
2021-09-23,Binance,BTCUSDT,43546.37,44978.0,43069.09,44865.26,48699.57655,2147211305.482089,1196106.0
2021-09-22,Binance,BTCUSDT,40734.09,44000.55,40565.39,43543.61,58349.05542,2482639471.907596,1304011.0
2021-09-21,Binance,BTCUSDT,43016.64,43639.0,39600.0,40734.38,84534.080485,3551997786.6903553,1820721.0
2021-09-20,Binance,BTCUSDT,47241.75,47347.25,42500.0,43015.62,78003.524443,3457139274.3000712,1842231.0
2021-09-19,Binance,BTCUSDT,48292.75,48372.83,46829.18,47241.75,29847.24349,1421642879.4932063,909785.0
2021-09-18,Binance,BTCUSDT,47299.98,48843.2,47035.56,48292.74,30906.47038,1491461627.9514225,976346.0
2021-09-17,Binance,BTCUSDT,47737.81,48150.0,46699.56,47299.98,34461.92776,1637122049.4128377,1033968.0
2021-09-16,Binance,BTCUSDT,48121.4,48557.0,47021.1,47737.82,40725.08895,1948447232.9107175,1176129.0
2021-09-15,Binance,BTCUSDT,47103.28,48500.0,46682.32,48121.41,43204.71174,2056996398.8439617,1176050.0
2021-09-14,Binance,BTCUSDT,44940.72,47250.0,44594.44,47111.52,44855.85099,2072259519.06192,1210258.0
2021-09-13,Binance,BTCUSDT,46025.23,46880.0,43370.0,44940.73,65429.15056,2930668118.2616343,1703512.0
2021-09-12,Binance,BTCUSDT,45173.68,46460.0,44742.06,46025.24,32094.28052,1464780920.2199812,1179808.0
2021-09-11,Binance,BTCUSDT,44842.2,45987.93,44722.22,45173.69,30440.4081,1380370764.0127168,1060890.0
2021-09-10,Binance,BTCUSDT,46395.14,47033.0,44132.29,44850.91,49048.26618,2243698626.039517,1569941.0
2021-09-09,Binance,BTCUSDT,46048.31,47399.97,45513.08,46395.14,50651.66002,2351862983.5182405,1567586.0
2021-09-08,Binance,BTCUSDT,46868.57,47340.99,44412.02,46048.31,65069.3152,3000605793.9389606,1796101.0
2021-09-07,Binance,BTCUSDT,52666.2,52920.0,42843.05,46863.73,123048.802719,6004105772.870442,3321711.0
2021-09-06,Binance,BTCUSDT,51756.88,52780.0,50969.33,52663.9,49249.667081,2549290983.0568776,1678015.0
2021-09-05,Binance,BTCUSDT,49917.54,51900.0,49450.0,51756.88,40544.835873,2049212025.844659,1417660.0
